adulterant,ingredient_category,pair_count,chem_count,cat_count
Corn oil,Protein-based ingredients,0,31,35
Corn oil,Functional food ingredients,0,31,34
Corn oil,Gums,0,31,30
Corn oil,Flavor chemicals,0,31,17
Corn oil,Animal feed,0,31,12
Corn oil,Emulsifiers,0,31,12
Corn oil,Colors,0,31,5
Corn oil,Nuts and nut-derived ingredients,0,31,5
Water,Milk,23,31,408
Water,"Fruit juices, concentrates, jams, purees, and preserves",4,31,167
Water,"Wines, musts, spirits, liquors, and vinegars",3,31,73
Water,Spices,1,31,351
Water,Oils,0,31,495
Water,Other,0,31,221
Water,Natural flavoring complexes,0,31,173
Water,Sweeteners,0,31,173
Water,Seafood,0,31,134
Water,"Cereals, grains, and pulses",0,31,88
Water,Dairy products and milk derivatives,0,31,85
Water,Meats,0,31,40
Water,Preservatives,0,31,35
Water,Protein-based ingredients,0,31,35
Water,Functional food ingredients,0,31,34
Water,Gums,0,31,30
Water,Flavor chemicals,0,31,17
Water,Animal feed,0,31,12
Water,Emulsifiers,0,31,12
Water,Colors,0,31,5
Water,Nuts and nut-derived ingredients,0,31,5
Starch,Milk,10,22,408
Starch,Spices,6,22,351
Starch,Other,5,22,221
Starch,Dairy products and milk derivatives,1,22,85
Starch,Oils,0,22,495
Starch,Natural flavoring complexes,0,22,173
Starch,Sweeteners,0,22,173
Starch,"Fruit juices, concentrates, jams, purees, and preserves",0,22,167
Starch,Seafood,0,22,134
Starch,"Cereals, grains, and pulses",0,22,88
Starch,"Wines, musts, spirits, liquors, and vinegars",0,22,73
Starch,Meats,0,22,40
Starch,Preservatives,0,22,35
Starch,Protein-based ingredients,0,22,35
Starch,Functional food ingredients,0,22,34
Starch,Gums,0,22,30
Starch,Flavor chemicals,0,22,17
Starch,Animal feed,0,22,12
Starch,Emulsifiers,0,22,12
Starch,Colors,0,22,5
Starch,Nuts and nut-derived ingredients,0,22,5
Urea,Milk,15,22,408
Urea,Protein-based ingredients,3,22,35
Urea,"Cereals, grains, and pulses",2,22,88
Urea,Seafood,1,22,134
Urea,Dairy products and milk derivatives,1,22,85
Urea,Oils,0,22,495
Urea,Spices,0,22,351
Urea,Other,0,22,221
Urea,Natural flavoring complexes,0,22,173
Urea,Sweeteners,0,22,173
Urea,"Fruit juices, concentrates, jams, purees, and preserves",0,22,167
Urea,"Wines, musts, spirits, liquors, and vinegars",0,22,73
Urea,Meats,0,22,40
Urea,Preservatives,0,22,35
Urea,Functional food ingredients,0,22,34
Urea,Gums,0,22,30
Urea,Flavor chemicals,0,22,17
Urea,Animal feed,0,22,12
Urea,Emulsifiers,0,22,12
Urea,Colors,0,22,5
Urea,Nuts and nut-derived ingredients,0,22,5
Canola oil,Oils,17,18,495
Canola oil,Dairy products and milk derivatives,1,18,85
Canola oil,Milk,0,18,408
Canola oil,Spices,0,18,351
Canola oil,Other,0,18,221
Canola oil,Natural flavoring complexes,0,18,173
Canola oil,Sweeteners,0,18,173
Canola oil,"Fruit juices, concentrates, jams, purees, and preserves",0,18,167
Canola oil,Seafood,0,18,134
Canola oil,"Cereals, grains, and pulses",0,18,88
Canola oil,"Wines, musts, spirits, liquors, and vinegars",0,18,73
Canola oil,Meats,0,18,40
Canola oil,Preservatives,0,18,35
Canola oil,Protein-based ingredients,0,18,35
Canola oil,Functional food ingredients,0,18,34
Canola oil,Gums,0,18,30
Canola oil,Flavor chemicals,0,18,17
Canola oil,Animal feed,0,18,12
Canola oil,Emulsifiers,0,18,12
Canola oil,Colors,0,18,5
Canola oil,Nuts and nut-derived ingredients,0,18,5
Glucose,Milk,11,18,408
Glucose,Other,3,18,221
Glucose,Spices,2,18,351
Glucose,Sweeteners,1,18,173
Glucose,Functional food ingredients,1,18,34
Glucose,Oils,0,18,495
Glucose,Natural flavoring complexes,0,18,173
Glucose,"Fruit juices, concentrates, jams, purees, and preserves",0,18,167
Glucose,Seafood,0,18,134
Glucose,"Cereals, grains, and pulses",0,18,88
Glucose,Dairy products and milk derivatives,0,18,85
Glucose,"Wines, musts, spirits, liquors, and vinegars",0,18,73
Glucose,Meats,0,18,40
Glucose,Preservatives,0,18,35
Glucose,Protein-based ingredients,0,18,35
Glucose,Gums,0,18,30
Glucose,Flavor chemicals,0,18,17
Glucose,Animal feed,0,18,12
Glucose,Emulsifiers,0,18,12
Glucose,Colors,0,18,5
Glucose,Nuts and nut-derived ingredients,0,18,5
Palm oil,Oils,15,18,495
Palm oil,Dairy products and milk derivatives,2,18,85
Palm oil,Milk,1,18,408
Palm oil,Spices,0,18,351
Palm oil,Other,0,18,221
Palm oil,Natural flavoring complexes,0,18,173
Palm oil,Sweeteners,0,18,173
Palm oil,"Fruit juices, concentrates, jams, purees, and preserves",0,18,167
Palm oil,Seafood,0,18,134
Palm oil,"Cereals, grains, and pulses",0,18,88
Palm oil,"Wines, musts, spirits, liquors, and vinegars",0,18,73
Palm oil,Meats,0,18,40
Palm oil,Preservatives,0,18,35
Palm oil,Protein-based ingredients,0,18,35
Palm oil,Functional food ingredients,0,18,34
Palm oil,Gums,0,18,30
Palm oil,Flavor chemicals,0,18,17
Palm oil,Animal feed,0,18,12
Palm oil,Emulsifiers,0,18,12
Palm oil,Colors,0,18,5
Palm oil,Nuts and nut-derived ingredients,0,18,5
Honey of non-authentic botanical origin,Sweeteners,17,17,173
Honey of non-authentic botanical origin,Oils,0,17,495
Honey of non-authentic botanical origin,Milk,0,17,408
Honey of non-authentic botanical origin,Spices,0,17,351
Honey of non-authentic botanical origin,Other,0,17,221
Honey of non-authentic botanical origin,Natural flavoring complexes,0,17,173
Honey of non-authentic botanical origin,"Fruit juices, concentrates, jams, purees, and preserves",0,17,167
Honey of non-authentic botanical origin,Seafood,0,17,134
Honey of non-authentic botanical origin,"Cereals, grains, and pulses",0,17,88
Honey of non-authentic botanical origin,Dairy products and milk derivatives,0,17,85
Honey of non-authentic botanical origin,"Wines, musts, spirits, liquors, and vinegars",0,17,73
Honey of non-authentic botanical origin,Meats,0,17,40
Honey of non-authentic botanical origin,Preservatives,0,17,35
Honey of non-authentic botanical origin,Protein-based ingredients,0,17,35
Honey of non-authentic botanical origin,Functional food ingredients,0,17,34
Honey of non-authentic botanical origin,Gums,0,17,30
Honey of non-authentic botanical origin,Flavor chemicals,0,17,17
Honey of non-authentic botanical origin,Animal feed,0,17,12
Honey of non-authentic botanical origin,Emulsifiers,0,17,12
Honey of non-authentic botanical origin,Colors,0,17,5
Honey of non-authentic botanical origin,Nuts and nut-derived ingredients,0,17,5
Oil of non-authentic botanical origin,Oils,14,17,495
Oil of non-authentic botanical origin,Natural flavoring complexes,3,17,173
Oil of non-authentic botanical origin,Milk,0,17,408
Oil of non-authentic botanical origin,Spices,0,17,351
Oil of non-authentic botanical origin,Other,0,17,221
Oil of non-authentic botanical origin,Sweeteners,0,17,173
Oil of non-authentic botanical origin,"Fruit juices, concentrates, jams, purees, and preserves",0,17,167
Oil of non-authentic botanical origin,Seafood,0,17,134
Oil of non-authentic botanical origin,"Cereals, grains, and pulses",0,17,88
Oil of non-authentic botanical origin,Dairy products and milk derivatives,0,17,85
Oil of non-authentic botanical origin,"Wines, musts, spirits, liquors, and vinegars",0,17,73
Oil of non-authentic botanical origin,Meats,0,17,40
Oil of non-authentic botanical origin,Preservatives,0,17,35
Oil of non-authentic botanical origin,Protein-based ingredients,0,17,35
Oil of non-authentic botanical origin,Functional food ingredients,0,17,34
Oil of non-authentic botanical origin,Gums,0,17,30
Oil of non-authentic botanical origin,Flavor chemicals,0,17,17
Oil of non-authentic botanical origin,Animal feed,0,17,12
Oil of non-authentic botanical origin,Emulsifiers,0,17,12
Oil of non-authentic botanical origin,Colors,0,17,5
Oil of non-authentic botanical origin,Nuts and nut-derived ingredients,0,17,5
Sudan dyes,Spices,15,17,351
Sudan dyes,Oils,2,17,495
Sudan dyes,Milk,0,17,408
Sudan dyes,Other,0,17,221
Sudan dyes,Natural flavoring complexes,0,17,173
Sudan dyes,Sweeteners,0,17,173
Sudan dyes,"Fruit juices, concentrates, jams, purees, and preserves",0,17,167
Sudan dyes,Seafood,0,17,134
Sudan dyes,"Cereals, grains, and pulses",0,17,88
Sudan dyes,Dairy products and milk derivatives,0,17,85
Sudan dyes,"Wines, musts, spirits, liquors, and vinegars",0,17,73
Sudan dyes,Meats,0,17,40
Sudan dyes,Preservatives,0,17,35
Sudan dyes,Protein-based ingredients,0,17,35
Sudan dyes,Functional food ingredients,0,17,34
Sudan dyes,Gums,0,17,30
Sudan dyes,Flavor chemicals,0,17,17
Sudan dyes,Animal feed,0,17,12
Sudan dyes,Emulsifiers,0,17,12
Sudan dyes,Colors,0,17,5
Sudan dyes,Nuts and nut-derived ingredients,0,17,5
Cottonseed oil,Oils,15,16,495
Cottonseed oil,Dairy products and milk derivatives,1,16,85
Cottonseed oil,Milk,0,16,408
Cottonseed oil,Spices,0,16,351
Cottonseed oil,Other,0,16,221
Cottonseed oil,Natural flavoring complexes,0,16,173
Cottonseed oil,Sweeteners,0,16,173
Cottonseed oil,"Fruit juices, concentrates, jams, purees, and preserves",0,16,167
Cottonseed oil,Seafood,0,16,134
Cottonseed oil,"Cereals, grains, and pulses",0,16,88
Cottonseed oil,"Wines, musts, spirits, liquors, and vinegars",0,16,73
Cottonseed oil,Meats,0,16,40
Cottonseed oil,Preservatives,0,16,35
Cottonseed oil,Protein-based ingredients,0,16,35
Cottonseed oil,Functional food ingredients,0,16,34
Cottonseed oil,Gums,0,16,30
Cottonseed oil,Flavor chemicals,0,16,17
Cottonseed oil,Animal feed,0,16,12
Cottonseed oil,Emulsifiers,0,16,12
Cottonseed oil,Colors,0,16,5
Cottonseed oil,Nuts and nut-derived ingredients,0,16,5
Corn syrup,Sweeteners,14,15,173
Corn syrup,Other,1,15,221
Corn syrup,Oils,0,15,495
Corn syrup,Milk,0,15,408
Corn syrup,Spices,0,15,351
Corn syrup,Natural flavoring complexes,0,15,173
Corn syrup,"Fruit juices, concentrates, jams, purees, and preserves",0,15,167
Corn syrup,Seafood,0,15,134
Corn syrup,"Cereals, grains, and pulses",0,15,88
Corn syrup,Dairy products and milk derivatives,0,15,85
Corn syrup,"Wines, musts, spirits, liquors, and vinegars",0,15,73
Corn syrup,Meats,0,15,40
Corn syrup,Preservatives,0,15,35
Corn syrup,Protein-based ingredients,0,15,35
Corn syrup,Functional food ingredients,0,15,34
Corn syrup,Gums,0,15,30
Corn syrup,Flavor chemicals,0,15,17
Corn syrup,Animal feed,0,15,12
Corn syrup,Emulsifiers,0,15,12
Corn syrup,Colors,0,15,5
Corn syrup,Nuts and nut-derived ingredients,0,15,5
Formaldehyde,Milk,11,15,408
Formaldehyde,Other,2,15,221
Formaldehyde,Seafood,2,15,134
Formaldehyde,Oils,0,15,495
Formaldehyde,Spices,0,15,351
Formaldehyde,Natural flavoring complexes,0,15,173
Formaldehyde,Sweeteners,0,15,173
Formaldehyde,"Fruit juices, concentrates, jams, purees, and preserves",0,15,167
Formaldehyde,"Cereals, grains, and pulses",0,15,88
Formaldehyde,Dairy products and milk derivatives,0,15,85
Formaldehyde,"Wines, musts, spirits, liquors, and vinegars",0,15,73
Formaldehyde,Meats,0,15,40
Formaldehyde,Preservatives,0,15,35
Formaldehyde,Protein-based ingredients,0,15,35
Formaldehyde,Functional food ingredients,0,15,34
Formaldehyde,Gums,0,15,30
Formaldehyde,Flavor chemicals,0,15,17
Formaldehyde,Animal feed,0,15,12
Formaldehyde,Emulsifiers,0,15,12
Formaldehyde,Colors,0,15,5
Formaldehyde,Nuts and nut-derived ingredients,0,15,5
Olive pomace oil,Oils,14,14,495
Olive pomace oil,Milk,0,14,408
Olive pomace oil,Spices,0,14,351
Olive pomace oil,Other,0,14,221
Olive pomace oil,Natural flavoring complexes,0,14,173
Olive pomace oil,Sweeteners,0,14,173
Olive pomace oil,"Fruit juices, concentrates, jams, purees, and preserves",0,14,167
Olive pomace oil,Seafood,0,14,134
Olive pomace oil,"Cereals, grains, and pulses",0,14,88
Olive pomace oil,Dairy products and milk derivatives,0,14,85
Olive pomace oil,"Wines, musts, spirits, liquors, and vinegars",0,14,73
Olive pomace oil,Meats,0,14,40
Olive pomace oil,Preservatives,0,14,35
Olive pomace oil,Protein-based ingredients,0,14,35
Olive pomace oil,Functional food ingredients,0,14,34
Olive pomace oil,Gums,0,14,30
Olive pomace oil,Flavor chemicals,0,14,17
Olive pomace oil,Animal feed,0,14,12
Olive pomace oil,Emulsifiers,0,14,12
Olive pomace oil,Colors,0,14,5
Olive pomace oil,Nuts and nut-derived ingredients,0,14,5
Honey of non-authentic geographic origin,Sweeteners,13,13,173
Honey of non-authentic geographic origin,Oils,0,13,495
Honey of non-authentic geographic origin,Milk,0,13,408
Honey of non-authentic geographic origin,Spices,0,13,351
Honey of non-authentic geographic origin,Other,0,13,221
Honey of non-authentic geographic origin,Natural flavoring complexes,0,13,173
Honey of non-authentic geographic origin,"Fruit juices, concentrates, jams, purees, and preserves",0,13,167
Honey of non-authentic geographic origin,Seafood,0,13,134
Honey of non-authentic geographic origin,"Cereals, grains, and pulses",0,13,88
Honey of non-authentic geographic origin,Dairy products and milk derivatives,0,13,85
Honey of non-authentic geographic origin,"Wines, musts, spirits, liquors, and vinegars",0,13,73
Honey of non-authentic geographic origin,Meats,0,13,40
Honey of non-authentic geographic origin,Preservatives,0,13,35
Honey of non-authentic geographic origin,Protein-based ingredients,0,13,35
Honey of non-authentic geographic origin,Functional food ingredients,0,13,34
Honey of non-authentic geographic origin,Gums,0,13,30
Honey of non-authentic geographic origin,Flavor chemicals,0,13,17
Honey of non-authentic geographic origin,Animal feed,0,13,12
Honey of non-authentic geographic origin,Emulsifiers,0,13,12
Honey of non-authentic geographic origin,Colors,0,13,5
Honey of non-authentic geographic origin,Nuts and nut-derived ingredients,0,13,5
Non-authentic oils,Oils,12,13,495
Non-authentic oils,Natural flavoring complexes,1,13,173
Non-authentic oils,Milk,0,13,408
Non-authentic oils,Spices,0,13,351
Non-authentic oils,Other,0,13,221
Non-authentic oils,Sweeteners,0,13,173
Non-authentic oils,"Fruit juices, concentrates, jams, purees, and preserves",0,13,167
Non-authentic oils,Seafood,0,13,134
Non-authentic oils,"Cereals, grains, and pulses",0,13,88
Non-authentic oils,Dairy products and milk derivatives,0,13,85
Non-authentic oils,"Wines, musts, spirits, liquors, and vinegars",0,13,73
Non-authentic oils,Meats,0,13,40
Non-authentic oils,Preservatives,0,13,35
Non-authentic oils,Protein-based ingredients,0,13,35
Non-authentic oils,Functional food ingredients,0,13,34
Non-authentic oils,Gums,0,13,30
Non-authentic oils,Flavor chemicals,0,13,17
Non-authentic oils,Animal feed,0,13,12
Non-authentic oils,Emulsifiers,0,13,12
Non-authentic oils,Colors,0,13,5
Non-authentic oils,Nuts and nut-derived ingredients,0,13,5
Non-authentic sugars,Sweeteners,9,12,173
Non-authentic sugars,"Fruit juices, concentrates, jams, purees, and preserves",3,12,167
Non-authentic sugars,Oils,0,12,495
Non-authentic sugars,Milk,0,12,408
Non-authentic sugars,Spices,0,12,351
Non-authentic sugars,Other,0,12,221
Non-authentic sugars,Natural flavoring complexes,0,12,173
Non-authentic sugars,Seafood,0,12,134
Non-authentic sugars,"Cereals, grains, and pulses",0,12,88
Non-authentic sugars,Dairy products and milk derivatives,0,12,85
Non-authentic sugars,"Wines, musts, spirits, liquors, and vinegars",0,12,73
Non-authentic sugars,Meats,0,12,40
Non-authentic sugars,Preservatives,0,12,35
Non-authentic sugars,Protein-based ingredients,0,12,35
Non-authentic sugars,Functional food ingredients,0,12,34
Non-authentic sugars,Gums,0,12,30
Non-authentic sugars,Flavor chemicals,0,12,17
Non-authentic sugars,Animal feed,0,12,12
Non-authentic sugars,Emulsifiers,0,12,12
Non-authentic sugars,Colors,0,12,5
Non-authentic sugars,Nuts and nut-derived ingredients,0,12,5
Sucrose,Milk,7,12,408
Sucrose,"Fruit juices, concentrates, jams, purees, and preserves",3,12,167
Sucrose,Other,1,12,221
Sucrose,Sweeteners,1,12,173
Sucrose,Oils,0,12,495
Sucrose,Spices,0,12,351
Sucrose,Natural flavoring complexes,0,12,173
Sucrose,Seafood,0,12,134
Sucrose,"Cereals, grains, and pulses",0,12,88
Sucrose,Dairy products and milk derivatives,0,12,85
Sucrose,"Wines, musts, spirits, liquors, and vinegars",0,12,73
Sucrose,Meats,0,12,40
Sucrose,Preservatives,0,12,35
Sucrose,Protein-based ingredients,0,12,35
Sucrose,Functional food ingredients,0,12,34
Sucrose,Gums,0,12,30
Sucrose,Flavor chemicals,0,12,17
Sucrose,Animal feed,0,12,12
Sucrose,Emulsifiers,0,12,12
Sucrose,Colors,0,12,5
Sucrose,Nuts and nut-derived ingredients,0,12,5
Swill or gutter oil (refined oil from recycled food and livestock waste),Oils,12,12,495
Swill or gutter oil (refined oil from recycled food and livestock waste),Milk,0,12,408
Swill or gutter oil (refined oil from recycled food and livestock waste),Spices,0,12,351
Swill or gutter oil (refined oil from recycled food and livestock waste),Other,0,12,221
Swill or gutter oil (refined oil from recycled food and livestock waste),Natural flavoring complexes,0,12,173
Swill or gutter oil (refined oil from recycled food and livestock waste),Sweeteners,0,12,173
Swill or gutter oil (refined oil from recycled food and livestock waste),"Fruit juices, concentrates, jams, purees, and preserves",0,12,167
Swill or gutter oil (refined oil from recycled food and livestock waste),Seafood,0,12,134
Swill or gutter oil (refined oil from recycled food and livestock waste),"Cereals, grains, and pulses",0,12,88
Swill or gutter oil (refined oil from recycled food and livestock waste),Dairy products and milk derivatives,0,12,85
Swill or gutter oil (refined oil from recycled food and livestock waste),"Wines, musts, spirits, liquors, and vinegars",0,12,73
Swill or gutter oil (refined oil from recycled food and livestock waste),Meats,0,12,40
Swill or gutter oil (refined oil from recycled food and livestock waste),Preservatives,0,12,35
Swill or gutter oil (refined oil from recycled food and livestock waste),Protein-based ingredients,0,12,35
Swill or gutter oil (refined oil from recycled food and livestock waste),Functional food ingredients,0,12,34
Swill or gutter oil (refined oil from recycled food and livestock waste),Gums,0,12,30
Swill or gutter oil (refined oil from recycled food and livestock waste),Flavor chemicals,0,12,17
Swill or gutter oil (refined oil from recycled food and livestock waste),Animal feed,0,12,12
Swill or gutter oil (refined oil from recycled food and livestock waste),Emulsifiers,0,12,12
Swill or gutter oil (refined oil from recycled food and livestock waste),Colors,0,12,5
Swill or gutter oil (refined oil from recycled food and livestock waste),Nuts and nut-derived ingredients,0,12,5
Whey,Milk,11,12,408
Whey,Dairy products and milk derivatives,1,12,85
Whey,Oils,0,12,495
Whey,Spices,0,12,351
Whey,Other,0,12,221
Whey,Natural flavoring complexes,0,12,173
Whey,Sweeteners,0,12,173
Whey,"Fruit juices, concentrates, jams, purees, and preserves",0,12,167
Whey,Seafood,0,12,134
Whey,"Cereals, grains, and pulses",0,12,88
Whey,"Wines, musts, spirits, liquors, and vinegars",0,12,73
Whey,Meats,0,12,40
Whey,Preservatives,0,12,35
Whey,Protein-based ingredients,0,12,35
Whey,Functional food ingredients,0,12,34
Whey,Gums,0,12,30
Whey,Flavor chemicals,0,12,17
Whey,Animal feed,0,12,12
Whey,Emulsifiers,0,12,12
Whey,Colors,0,12,5
Whey,Nuts and nut-derived ingredients,0,12,5
Cane sugar,Sweeteners,7,11,173
Cane sugar,Milk,3,11,408
Cane sugar,"Fruit juices, concentrates, jams, purees, and preserves",1,11,167
Cane sugar,Oils,0,11,495
Cane sugar,Spices,0,11,351
Cane sugar,Other,0,11,221
Cane sugar,Natural flavoring complexes,0,11,173
Cane sugar,Seafood,0,11,134
Cane sugar,"Cereals, grains, and pulses",0,11,88
Cane sugar,Dairy products and milk derivatives,0,11,85
Cane sugar,"Wines, musts, spirits, liquors, and vinegars",0,11,73
Cane sugar,Meats,0,11,40
Cane sugar,Preservatives,0,11,35
Cane sugar,Protein-based ingredients,0,11,35
Cane sugar,Functional food ingredients,0,11,34
Cane sugar,Gums,0,11,30
Cane sugar,Flavor chemicals,0,11,17
Cane sugar,Animal feed,0,11,12
Cane sugar,Emulsifiers,0,11,12
Cane sugar,Colors,0,11,5
Cane sugar,Nuts and nut-derived ingredients,0,11,5
Catfish,Seafood,11,11,134
Catfish,Oils,0,11,495
Catfish,Milk,0,11,408
Catfish,Spices,0,11,351
Catfish,Other,0,11,221
Catfish,Natural flavoring complexes,0,11,173
Catfish,Sweeteners,0,11,173
Catfish,"Fruit juices, concentrates, jams, purees, and preserves",0,11,167
Catfish,"Cereals, grains, and pulses",0,11,88
Catfish,Dairy products and milk derivatives,0,11,85
Catfish,"Wines, musts, spirits, liquors, and vinegars",0,11,73
Catfish,Meats,0,11,40
Catfish,Preservatives,0,11,35
Catfish,Protein-based ingredients,0,11,35
Catfish,Functional food ingredients,0,11,34
Catfish,Gums,0,11,30
Catfish,Flavor chemicals,0,11,17
Catfish,Animal feed,0,11,12
Catfish,Emulsifiers,0,11,12
Catfish,Colors,0,11,5
Catfish,Nuts and nut-derived ingredients,0,11,5
High-fructose corn syrup,Sweeteners,6,11,173
High-fructose corn syrup,"Fruit juices, concentrates, jams, purees, and preserves",5,11,167
High-fructose corn syrup,Oils,0,11,495
High-fructose corn syrup,Milk,0,11,408
High-fructose corn syrup,Spices,0,11,351
High-fructose corn syrup,Other,0,11,221
High-fructose corn syrup,Natural flavoring complexes,0,11,173
High-fructose corn syrup,Seafood,0,11,134
High-fructose corn syrup,"Cereals, grains, and pulses",0,11,88
High-fructose corn syrup,Dairy products and milk derivatives,0,11,85
High-fructose corn syrup,"Wines, musts, spirits, liquors, and vinegars",0,11,73
High-fructose corn syrup,Meats,0,11,40
