ingredient,function,form,id_test,assay,type,sort_name
Acidified Sodium Chlorite Solutions,Antimicrobial Agent,"Clear, Colorless To Pale Yellow Liquids",None,None,high_suscept_id,Acidifiedsodiumchloritesolutions
Aconitic Acid,"Adjuvant, Flavoring Substance",See Monograph,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Aconiticacid
5' Adenylic Acid,Source Of 5' Adenylic Acid,"Colorless Or White Crystals, Or White Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Adenylicacid
Adipic Acid,"Buffer, Neutralizing Agent",White Crystals Or A Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Adipicacid
Agar,"Emulsifier, Stabilizer, Thickener","White To Pale Yellow Bundles Of Thin, Membranous Agglutinated Strips, Or In Cut, Flaked, Granulated, Or Powdered Forms",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Agar
Dl Alanine,Nutrient,White Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Alanine2
L Alanine,Nutrient,White Crystalline Powder,Infrared absorption,Procedure,pending,Alanine3
Alginic Acid,"Emulsifier, Stabilizer, Thickener","White To Yellow White, Fibrous Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Alginicacid
Alitame,"Flavor Enhancer, Sweetener","White, Odorless, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Alitame
Allura Red,Color,Red Brown Powder Or Granule,Procedure,Total color,low_suscept,Allurared
Allyl Cyclohexanepropionate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Allylcyclohexanepropionate
Allyl Heptanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Allylheptanoate
Allyl Hexanoate,Flavoring Agent,Colorless To Light Yellow Liquid,Infrared spectra,Procedure,pending,Allylhexanoate
Allyl Alpha Ionone,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Allylionone
Allyl Isothiocyanate,Flavoring Agent,"Colorless To Pale Yellow, Strongly Refractive Liquid",Infrared spectra,Procedure,pending,Allylisothiocyanate
Allyl Isovalerate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Allylisovalerate
Allyl Phenoxy Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Allylphenoxyacetate
Allyl Propionate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Allylpropionate
"Almond Oil, Bitter, Ffpa",Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Aldehydes,high_suscept,Almondoilbitterffpa
Aluminum Ammonium Sulfate,"Buffer, Neutralizing Agent","Large, Colorless Crystals, White Granules, Or Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Aluminumammoniumsulfate
Aluminum Potassium Sulfate,"Buffer, Firming Agent, Neutralizing Agent","Large, Transparent Crystals Or Crystalline Fragments, Or White Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Aluminumpotassiumsulfate
Aluminum Sodium Sulfate,"Buffer, Firming Agent, Neutralizing Agent","Colorless Crystals, White Granules, Or Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Aluminumsodiumsulfate
Aluminum Sulfate,Firming Agent,"White Powder, Shining Plates, Or Crystalline Fragments",All ID tests listed in monograph,All assays listed in monograph,pending,Aluminumsulfate
Ambrette Seed Oil,Flavoring Agent,Clear Yellow To Amber Liquid,Infrared spectra,None,high_suscept,Ambretteseedoil
Ammonia Solution,"Boiler Water Additive, P H Control Agent, Surface Finishing Agent","Clear, Colorless Liquid",Procedure,Procedure,high_suscept_id,Ammoniasolution
Ammoniated Glycyrrhizin,"Flavor Enhancer, Flavoring Agent",Brown Powder,Ammonium,Procedure,high_suscept,Ammoniatedglycyrrhizin
Ammonium Alginate,"Emulsifier, Stabilizer, Thickener","White To Yellow, Fibrous Or Granular Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Ammoniumalginate
Ammonium Bicarbonate,"Alkali, Leavening Agent",White Crystals Or A Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumbicarbonate
Ammonium Carbonate,"Buffer, Leavening Agent, Neutralizing Agent","White Powder Or Hard, White Or Translucent Masses",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumcarbonate
Ammonium Chloride,"Dough Conditioner, Yeast Food","Colorless Crystals Or White, Fine Or Coarse, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumchloride
"Ammonium Citrate, Dibasic",P H Control Agent,White To Off White Crystals,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,"Ammoniumcitrate,Dibasic"
"Ammonium Citrate, Tribasic",P H Control Agent,White Crystals Or A Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Ammoniumcitratetribasic
"Ammonium Phosphate, Dibasic","Buffer, Dough Conditioner, Leavening Agent, Yeast Food","White Crystals, Crystalline Powder, Or Granules",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumphosphatedibasic
"Ammonium Phosphate, Monobasic","Buffer, Dough Conditioner, Leavening Agent, Yeast Food","White Crystals, Crystalline Powder, Or Granules",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumphosphatemonobasic
Ammonium Saccharin,Nonnutritive Sweetener,"White Crystals Or White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumsaccharin
Ammonium Sulfate,"Dough Conditioner, Yeast Nutrient",Colorless Or White Crystals Or Granules,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ammoniumsulfate
1 Amyl Alcohol,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Amylalcohol
Amyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Amylbutyrate
Alpha Amylcinnamaldehyde,Flavoring Agent,Yellow Liquid,Infrared spectra,Procedure,pending,Amylcinnamaldehyde
Amyl Formate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Amylformate
Amyl Heptanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Amylheptanoate
Amyl Octanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Amyloctanoate
Amyl Propionate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Amylpropionate
"Amyris Oil, West Indian Type",Flavoring Agent,"Clear, Pale Yellow, Viscous Liquid",Infrared spectra,None,high_suscept_id,Amyrisoilwestindiantype
Anethole,Flavoring Agent,Colorless To Faintly Yellow Liquid,Infrared absorption,Procedure,pending,Anethole
Angelica Root Oil,Flavoring Agent,Pale Yellow To Deep Amber Liquid,Infrared spectra,None,high_suscept,Angelicarootoil
Angelica Seed Oil,Flavoring Agent,Light Yellow Liquid,Infrared spectra,None,high_suscept_id,Angelicaseedoil
Anise Oil,Flavoring Agent,"Pale Yellow, Strongly Refractive Liquid",Infrared spectra,None,high_suscept,Aniseoil
Anisole,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Anisole
Anisyl Acetate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Anisylacetate
Anisyl Alcohol,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Anisylalcohol
Anisyl Formate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Anisylformate
Annatto Extracts,Color,"Dark Red Solutions, Emulsions, Or Suspensions In Water Or Oil As Dark Red Powders",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Annattoextracts
Beta Apo 8' Carotenal,Color,"Fine, Crystalline Powder With A Dark, Metallic Sheen",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Apocarotenal
Arabinogalactan,"Dietary Fiber, Humectant, Stabilizer","White To Yellow White, Coarse Or Fine Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Arabinogalactan
L Arginine,Nutrient,White Crystals Or As A White Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Arginine
L Arginine Monohydrochloride,Nutrient,White Or Nearly White Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Argininemonohydrochloride
Ascorbic Acid,"Antioxidant, Meat Curing Aid, Nutrient",White Or Slighty Yellow Crystals Or Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Ascorbicacid
Ascorbyl Palmitate,Antioxidant,White Or Yellow White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ascorbylpalmitate
L Asparagine,Nutrient,White Crystals Or Crystalline Powder,Infrared spectra,Procedure,high_suscept_id,Asparagine
Aspartame,"Flavor Enhancer, Sugar Substitute, Sweetener","White, Crystalline Powder",Infrared absorption,Procedure,high_suscept,Aspartame
Aspartame Acesulfame Salt,Sweetener,"White, Crystalline Powder",Infrared absorption,Procedure,high_suscept_id,Aspartameacesulfamesalt
Dl Aspartic Acid,Nutrient,Colorless Or White Crystals,Infrared spectra,Procedure,high_suscept_id,Asparticacid2
L Aspartic Acid,Nutrient,White Crystals Or Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Asparticacid3
Azodicarbonamide,Maturing Agent For Flour,"Yellow To Orange Red, Crystalline Powder",Ultraviolet absorption,Procedure,pending,Azodicarbonamide
Azorubine,Color,Red Powder Or Granules,Visible absorption spectrum,Total color,pending,Azorubine
Balsam Peru Oil,Flavoring Agent,"Yellow To Pale Brown, Slightly Viscous Liquid",Infrared spectra,None,high_suscept,Balsamperuoil
"Basil Oil, Comoros Type",Flavoring Agent,Light Yellow Liquid,Infrared spectra,None,high_suscept,Basiloilcomorostype
"Basil Oil, European Type",Flavoring Agent,Pale Yellow To Yellow Liquid,Infrared spectra,None,high_suscept_id,Basiloileuropeantype
Bay Oil,Flavoring Agent,Yellow Or Brown Yellow Liquid,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Bayoil
"Beeswax, White","Raw Material For Flavoring Agent, Release Agent, Surface Finishing (Glazing) Agent","Yellow White Solid, Somewhat Translucent In Thin Layers",None,None,high_suscept,Beeswaxwhite
"Beeswax, Yellow","Candy Glaze And Polish, Raw Material For Flavoring Agent",Yellow To Gray Brown Solid,None,None,high_suscept_id,Beeswaxyellow
Bentonite,"Clarifying, Filter Agent",Powders Ranging In Colors And Tints From Off White To Pale Brown To Gray,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Bentonite
Benzaldehyde,Flavoring Agent,Colorless Liquid,Infrared absorption,Procedure,pending,Benzaldehyde
Benzaldehyde Glyceryl Acetal,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Benzaldehydeglycerylacetal
"1,2 Benzodihydropyrone",Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Benzodihydropyrone
Benzoic Acid,"Antimicrobial Agent, Preservative","White Crystals, Scales, Or Needles",Procedure,Procedure,high_suscept_id,Benzoicacid
Benzophenone,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzophenone
Benzoyl Peroxide,Bleaching Agent,"Colorless, Crystalline Solid",Melting range or temperature,Procedure,pending,Benzoylperoxide
Benzyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzylacetate
Benzyl Alcohol,Flavoring Agent,Colorless Liquid,Infrared absorption,Procedure,pending,Benzylalcohol
Benzyl Benzoate,Flavoring Agent,"Colorless, Oily Liquid",Infrared absorption,Procedure,pending,Benzylbenzoate
Benzyl Butyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzylbutyrate
Benzyl Cinnamate,Flavoring Agent,White To Pale Yellow Solid,Infrared spectra,Procedure,pending,Benzylcinnamate
Benzyl Formate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Benzylformate
Benzyl Isobutyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzylisobutyrate
Benzyl Isovalerate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzylisovalerate
Benzyl Phenylacetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzylphenylacetate
Benzyl Propionate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Benzylpropionate
Benzyl Salicylate,Flavoring Agent,Almost Colorless Liquid,Infrared spectra,Procedure,pending,Benzylsalicylate
"Bergamot Oil, Coldpressed",Flavoring Agent,Green To Yellow Green Or Yellow Brown Liquid,Infrared spectra,Esters,high_suscept,Bergamotoilcoldpressed
Betaine,"Flavoring Agent, Source Of Betaine","White, Very Hygroscopic Powder",Infrared absorption,Procedure,pending,Betaine
Bha,Antioxidant,White Or Slightly Yellow Waxy Solid,Procedure,Procedure,low_suscept,Bha
Bht,Antixodant,"White, Crystalline Solid",Procedure,Solidification point,high_suscept,Bht
Biotin,Nutrient,"White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Biotin
"Birch Tar Oil, Rectified",Flavoring Agent,"Clear, Dark Brown Liquid",Infrared spectra,None,high_suscept,Birchtaroilrectified
Black Pepper Oil,Flavoring Agent,Almost Colorless To Slightly Green Liquid,Infrared spectra,None,high_suscept,Blackpepperoil
Bohenin,"Antibloom Agent, Tempering Aid","Light Tan, Waxy Solid",Fatty acid composition,None,high_suscept,Bohenin
Bois De Rose Oil,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Linalool,high_suscept,Boisderoseoil
Borneol,Flavoring Agent,White To Off White Crystal,Infrared spectra,Procedure,pending,Borneol
Bornyl Acetate,Flavoring Agent,"Colorless Liquid, Semicrystalline Mass, Or White Crystalline Solid",Infrared spectra,Procedure,pending,Bornylacetate
Brilliant Blue,Color,Dark Purple To Bronze Powder Or Granules,Infrared spectra,Total color,high_suscept_id,Brilliantblue
Brominated Vegetable Oil,"Beverage Stabilizer, Flavoring Agent","Pale Yellow To Dark Brown, Viscous, Oily Liquid",Procedure,None,high_suscept,Brominatedvegetableoil
Butadiene Styrene Rubber,Masticatory Substance In Chewing Gum Base,Synthetic Liquid Latex Or Solid Rubber,Infrared spectra,None,high_suscept,Butadienestyrenerubber
Butane,"Aerating Agent, Propellant","Colorless, Flammable Gas",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Butane
2 Butanone,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Butanone
Butan 3 One 2 Yl Butanoate,Flavoring Agent,White To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Butanonebutanoate
Butyl Acetate,Flavoring Agent,"Colorless, Mobile Liquid",Infrared absorption,Procedure,pending,Butylacetate
Butyl Alcohol,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Butylalcohol
Butylated Hydroxymethylphenol,Antioxidant,"Nearly White, Crystalline Solid",Procedure,Solidification point,high_suscept_id,Butylatedhydroxymethylphenol
Butyl Butyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Butylbutyrate
Butyl Butyryllactate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Butylbutyryllactate
2 Sec Butyl Cyclohexanone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Butylcyclohexanone
"1,3 Butylene Glycol",Solvent For Flavoring Agents,"Clear, Colorless, Hygroscopic, Viscous Liquid",None,Procedure,high_suscept_id,Butyleneglycol
Butyl Isobutyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Butylisobutyrate
Butyl Isovalerate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Butylisovalerate
Butyl 2 Methyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Butylmethylbutyrate
Butyl Phenylacetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Butylphenylacetate
Butyl Stearate,Flavoring Agent,"Colorless, Waxy Solid",None,None,pending,Butylstearate
Butyraldehyde,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Butyraldehyde
Butyric Acid,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Butyricacid
Gamma Butyrolactone,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Butyrolactone
Caffeine,Flavoring Agent,"White Powder Or White, Glistening Needles, Usually Matted Together, Sometimes Compacted Or Compressed",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Caffeine
Calcium Acetate,"Buffer, Firming Agent, Stabilizer","Fine, White, Bulky Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumacetate
Calcium Acid Pyrophosphate,"Leavening Agent, Nutrient","Fine, White, Acidic Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumacidpyrophosphate
Calcium Alginate,"Emulsifier, Stabilizer, Thickener","White To Yellow, Fibrous Or Granular Powder",Procedure,Procedure,high_suscept,Calciumalginate
Calcium Ascorbate,Antioxidant,"White To Slightly Yellow, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumascorbate
Calcium Benzoate,"Antimicrobial Agent, Preservative","White Or Colorless Crystals, Or White Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumbenzoate
Calcium Bromate,"Maturing Agent, Oxidizing Agent","White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumbromate
Calcium Carbonate,"Dough Conditioner, Firming Agent, Nutrient, P H Control Agent, Yeast Nutrient","Fine, White Or Colorless, Microcrystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumcarbonate
Calcium Chloride,Firming Agent,"White, Hard Fragments, Granules, Or Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumchloride
Calcium Chloride Solution,"Firming Agent, Sequestrant","Clear To Slightly Turbid, Colorless Or Slightly Colored Liquid",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumchloridesolution
Calcium Citrate,"Buffer, Firming Agent, Sequestrant","Fine, White Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumcitrate
Calcium Disodium Edta,"Preservative, Sequestrant","White, Crystalline Granules Or White To Off White Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumdisodiumedta
Calcium Gluconate,"Firming Agent, Stabilizer, Texturizer","White, Crystalline Granules Or Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumgluconate
Calcium Glycerophosphate,Nutrient,"Fine, White Powder, Somewhat Hygroscopic",Calcium,Procedure,high_suscept_id,Calciumglycerophosphate
Calcium Hydroxide,"Buffer, Firming Agent, Neutralizing Agent",White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumhydroxide
Calcium Iodate,"Dough Conditioner, Maturing Agent",White Powder,Procedure,Procedure,high_suscept_id,Calciumiodate
Calcium Lactate,"Buffer, Dough Conditioner, Yeast Nutrient",White To Cream Colored Crystalline Powder Or Granules,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumlactate
Calcium Lactobionate,"Firming Agent In Dry Pudding Mixes, Nutrient",White To Cream Colored Free Flowing Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumlactobionate
Calcium Lignosulfonate,"Binder, Dispersant","Brown, Amorphous Polymer",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Calciumlignosulfonate
Calcium Lignosulfonate (40 65),"Carrier, Encapsulating Agent",Yellow Brown To Brown Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumlignosulfonate40 65
Calcium Oxide,"Dough Conditioner, Nutrient, P H Control Agent, Yeast Food","Hard, White Or Gray White Masses Or Granules Or White To Gray White Powder",Calcium,Procedure,high_suscept_id,Calciumoxide
Calcium Pantothenate,Nutrient,Slightly Hygroscopic White Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumpantothenate
"Calcium Pantothenate, Calcium Chloride Double Salt",Nutrient,"White, Free Flowing, Fine Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumpantothenatecalciumchloridedoublesalt
"Calcium Pantothenate, Racemic",Nutrient,"White, Slightly Hygroscopic Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Calciumpantothenateracemic
Calcium Peroxide,"Dough Conditioner, Oxidizing Agent",White Or Yellow Powder Or Granular Material,Calcium,Procedure,high_suscept_id,Calciumperoxide
"Calcium Phosphate, Dibasic","Dough Conditioner, Leavening Agent, Nutrient",White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumphosphatedibasic
"Calcium Phosphate, Monobasic","Buffer, Dough Conditioner, Firming Agent, Leavening Agent, Nutrient, Sequestrant, Yeast Food",White Crystals Or Granules Or Granular Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumphosphatemonobasic
"Calcium Phosphate, Tribasic","Anticaking Agent, Buffer, Clouding Agent, Nutrient",White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumphosphatetribasic
Calcium Propionate,"Mold Inhibitor, Preservative",White Crystals Or Crystalline Solid,All ID tests listed in monograph,All assays listed in monograph,pending,Calciumpropionate
Calcium Pyrophosphate,"Buffer, Neutralizing Agent, Nutrient","Fine, White Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumpyrophosphate
Calcium Saccharin,Non Nutritive Sweetener,"White Crystals Or White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumsaccharin
Calcium Silicate,"Anticaking Agent, Filter Aid","White To Off White, Free Flowing Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumsilicate
Calcium Sorbate,"Antimicrobial Agent, Preservative","Fine, White Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumsorbate
Calcium Stearate,"Anticaking Agent, Binder, Emulsifier","Fine, White To Yellow White, Bulky Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Calciumstearate
Calcium Stearoyl Lactylate,"Dough Conditioner, Stabilizer, Whipping Agent",Cream Colored Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumstearoyllactylate
Calcium Sulfate,"Dough Conditioner, Firming Agent, Nutrient, Sequestrant, Yeast Food","Fine, White To Slightly Yellow White Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Calciumsulfate
Camphene,Flavoring Agent,Colorless Crystalline Mass,None,Procedure,pending,Camphene
(+) Camphor,Flavoring Agent,White To Gray Translucent Crystalline Or Fused Mass,Infrared absorption,None,pending,Camphor
Cananga Oil,Flavoring Agent,Light To Deep Yellow Liquid,Infrared spectra,None,high_suscept,Canangaoil
Candelilla Wax,"Masticatory Substance In Chewing Gum Base, Surface Finishing Agent","Hard, Yellow Brown, Opaque To Translucent Wax",Infrared spectra,None,pending,Candelillawax
Canola Oil,"Coating Agent, Component Of Margarine Or Shortening, Cooking Or Salad Oil, Texturizer",Light Yellow Oil,Fatty acid composition,None,pending,Canolaoil
Canthaxanthin,Color,"Dark, Crystalline Powder",Procedure,Procedure,high_suscept_id,Canthaxanthin
Caramel,Color,Dark Brown To Black Liquid Or Solid,None,None,high_suscept,Caramel
Caraway Oil,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Ketones,high_suscept,Carawayoil
"Carbon, Activated","Decolorizing Agent, Purification Agent In Food Processing, Taste And Odor Removing Agent","Black Substance, Varying In Particle Size From Coarse Granules To A Fine Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Carbonactivated
Carbon Dioxide,"Carbonating Agent, Direct Contact Freezing Agent, Propellant And Aerating Agent",Colorless Gas,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Carbondioxide
Cardamom Oil,Flavoring Agent,Colorless Or Very Pale Yellow Liquid,Infrared spectra,Aldehydes,high_suscept_id,Cardamomoil
Carmine,Color,"Bright Red, Friable Pieces Or Dark Red Powder",Procedure,Procedure,high_suscept_id,Carmine
Carnauba Wax,"Anticaking Agent, Carrier For Flavors, Release Agent, Surface Finishing (Glazing) Agent","Hard, Brittle Substance With A Resinous Fracture And A Color Ranging From Light Brown To Pale Yellow",None,None,high_suscept,Carnaubawax
L Carnitine,Nutrient,"White Crystals Or White, Crystalline, Hygroscopic Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Carnitine
Beta Carotene,"Color, Nutrient",Red Crystals Or Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Carotene
Carrageenan,"Emulsifier, Gelling Agent, Stabilizer, Thickener","Yellow Or Tan To White, Coarse Or Fine Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Carrageenan
Carrot Seed Oil,Flavoring Agent,Light Yellow To Amber Liquid,Infrared spectra,None,pending,Carrotseedoil
Carvacrol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Carvacrol
