,classification,date_case,date_last_change,reference,country,type,category,subject
12,alert,17/07/2015,17/07/2015,2015.0937,France,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (1.82 g/100g) in food supplement from unknown origin, via the Netherlands"
13,alert,16/07/2015,21/08/2015,2015.0935,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (100 mg/item) in food supplement from Belgium
14,information for attention,16/07/2015,17/08/2015,2015.0932,Cyprus,food,"dietetic foods, food supplements, fortified foods",unauthorised substance tadalafil (27.6 mg) in food supplement from the United States
15,information for follow-up,15/07/2015,28/07/2015,2015.0926,United Kingdom,food,fats and oils,too high content of erucic acid (15.9 g/100g) in blended mustard oil from Germany
16,alert,14/07/2015,29/09/2015,2015.0910,Denmark,food,"cocoa and cocoa preparations, coffee and tea","high content of Senna alexandrina Mill. in herbal infusion from Thailand, via the Netherlands"
17,border rejection,13/07/2015,13/07/2015,2015.BDL,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (1.0 mg/kg - ppm) in palm oil from Nigeria
18,alert,08/07/2015,08/07/2015,2015.0874,Germany,food,cereals and bakery products,high content of aluminium (253 mg/kg - ppm) in glass noodles from Vietnam
19,border rejection,30/06/2015,30/06/2015,2015.BBQ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (0.8 mg/kg - ppm) in palm oil from Ghana
20,alert,25/06/2015,30/07/2015,2015.0816,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised substance yohimbine (0.5 mg/item) in food supplement from the United States, via Slovakia and via Hungary"
21,alert,22/06/2015,30/07/2015,2015.0798,Czech Republic,food,"nuts, nut products and seeds",high content of morphine (59.13 mg/kg - ppm) in ground poppy seeds from the Czech Republic
22,information for follow-up,17/06/2015,27/07/2015,2015.0772,Norway,food,fats and oils,unauthorised placing on the market of cod liver oil from Norway
23,alert,17/06/2015,02/07/2015,2015.0776,Czech Republic,food,"nuts, nut products and seeds","high content of morphine (69.61 mg/kg - ppm) in grey poppy seeds from France, via Poland"
24,information for attention,15/06/2015,14/07/2015,2015.0762,United Kingdom,food,other food product / mixed,unauthorised colour Rhodamine B (20 mg/kg - ppm) in pan masala from Pakistan
25,alert,12/06/2015,02/09/2015,2015.0757,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substances progesterone (2.56 mg/kg - ppm) and androstenedione (3.02 mg/kg - ppm) in food supplement from India, via Latvia"
26,information for follow-up,12/06/2015,12/06/2015,2015.0752,Lithuania,food,"dietetic foods, food supplements, fortified foods","unauthorised substance d-aspartic acid in food supplement from the United States, via the United Kingdom"
27,alert,11/06/2015,27/08/2015,2015.0735,Germany,food,fruits and vegetables,high content of iodine (2423 mg/kg - ppm) in dried seaweed from Japan
28,alert,03/06/2015,03/06/2015,2015.0675,Czech Republic,food,"nuts, nut products and seeds","high content of morphine (137 mg/kg - ppm) in blue poppy seeds from Australia, via the Netherlands"
29,border rejection,28/05/2015,28/05/2015,2015.AXZ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (30000 µg/kg - ppb) in palm oil from Nigeria
30,alert,27/05/2015,29/06/2015,2015.0646,Sweden,food,"dietetic foods, food supplements, fortified foods",risk of overdosage with nicotinic acid (1500 /mg) from consuming food supplement from the United States
31,alert,21/05/2015,05/06/2015,2015.0619,Czech Republic,food,"nuts, nut products and seeds","high content of morphine (96.93 mg/kg - ppm) in poppy seed from France, via Poland"
32,information for attention,21/05/2015,21/05/2015,2015.0615,Switzerland,food,fruits and vegetables,"too high content of nitrate (4700 mg/kg - ppm) and unauthorised substances carbendazim (1.12 mg/kg - ppm), chlorfenapyr (0.20 mg/kg - ppm) and chlorfluazuron (0.06 mg/kg - ppm) in kale from Vietnam"
33,border rejection,08/05/2015,19/05/2015,2015.AVS,United Kingdom,food,non-alcoholic beverages,unauthorised substance ethylenediaminetetraacetic acid (EDTA) (mentioned on label) in orange soft drink from the United Arab Emirates
34,information for attention,07/05/2015,11/06/2015,2015.0560,United Kingdom,food,herbs and spices,unauthorised colours Sudan 1 (20 µg/kg - ppb) and Orange II (1400 µg/kg - ppb) in sumac from Iran
35,information for attention,07/05/2015,08/05/2015,2015.0564,Germany,food,cereals and bakery products,high content of aluminium (408 mg/kg - ppm) in glass noodles from Vietnam
36,border rejection,07/05/2015,07/05/2015,2015.AVL,Germany,food,fruits and vegetables,too high content of copper (120 mg/kg dry matter) in vine leaves in brine from Turkey
37,information for attention,30/04/2015,30/04/2015,2015.0535,Bulgaria,food,"dietetic foods, food supplements, fortified foods",unauthorised substance stanozolol (11 mg/kg - ppm) in food supplement from Bulgaria
38,information for attention,24/04/2015,19/05/2015,2015.0521,Czech Republic,food,fruits and vegetables,"too high content of nitrate (6630 mg/kg - ppm) in fresh baby spinach from Italy, via Hungary and via Poland"
39,information for follow-up,23/04/2015,02/07/2015,2015.0517,Estonia,food,food additives and flavourings,"unauthorised smoke flavouring from the United States, via Sweden"
40,alert,22/04/2015,04/06/2015,2015.0508,France,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (dithiodesmethylcarbodenafil, desmethylcarbodenafil and carbodenafil) in food supplement from Latvia, via Portugal"
41,information for follow-up,16/04/2015,30/04/2015,2015.0479,Lithuania,food,"dietetic foods, food supplements, fortified foods","unauthorised substances zinc amino acid chelate (3 mg/item), selenium amino acid chelate (0.025 mg/item), copper amino acid chelate (0.025 mg/item), manganese amino acid chelate (0.5 mg/item), chromium dinicotinate glycinate (20 mg/item) and niacinamide (10 mg/item) in food supplement from the United States, via Latvia"
42,alert,07/04/2015,24/04/2015,2015.0436,Sweden,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin D (125 µg/capsule) in vitamin D3 & K2 from the United States, via Norway"
43,alert,01/04/2015,27/04/2015,2015.0406,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised substance gamma-aminobutyric acid (GABA) in food supplement from the Netherlands
44,information for attention,31/03/2015,04/05/2015,2015.0393,Switzerland,food,fruits and vegetables,"cyromazine (0.09 mg/kg - ppm) and flubendiamide (0.03 mg/kg - ppm), too high content of nitrate (3375 mg/kg - ppm) and unauthorised substance carbendazim (0.68 mg/kg - ppm) in kale cai ro (Thai broccoli) from Vietnam"
45,information for follow-up,27/03/2015,22/06/2015,2015.0375,Netherlands,food,fruits and vegetables,high content of aluminium (31 mg/kg - ppm) in plantain flour from the United States
46,alert,27/03/2015,29/04/2015,2015.0381,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (50 mg/capsule) in vitamine B6 from Sweden
47,information for attention,26/03/2015,31/03/2015,2015.0369,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin D (D3: 125 µg/daily dose) in food supplement from the United States
48,alert,23/03/2015,27/04/2015,2015.0348,Germany,food,fruits and vegetables,"high content of iodine (33 mg/kg - ppm) in dried seaweed from China, via the Netherlands"
49,border rejection,17/03/2015,24/03/2015,2015.ALW,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance 5-hydroxytryptophan (5-HTP) in food supplement from China
50,information for follow-up,12/03/2015,24/03/2015,2015.0300,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised substances vanadium (5.98 mg/kg - ppm) and ethylenediaminetetraacetic acid (EDTA) (200 mg/item) in food supplement from the United States
51,alert,10/03/2015,09/04/2015,2015.0288,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin A (12500 µg/capsule) in food supplement from Sweden
52,information for follow-up,09/03/2015,09/04/2015,2015.0283,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin D (175 µg/item) in food supplement from Sweden
53,information for follow-up,09/03/2015,09/04/2015,2015.0280,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin D (125 µg/capsule) in food supplement from Sweden
54,alert,09/03/2015,19/03/2015,2015.0279,Germany,food,fats and oils,"unauthorised colour Sudan 4 (1.9 mg/kg - ppm) in red palmoil from unknown origin, via the Netherlands"
55,alert,09/03/2015,12/03/2015,2015.0284,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin A (12500 µg/capsule) in food supplement from Sweden
56,information for follow-up,06/03/2015,07/04/2015,2015.0278,Ireland,food,bivalve molluscs and products thereof,unauthorised placing on the market (illegally harvested) of oysters from Ireland
57,border rejection,06/03/2015,12/03/2015,2015.AKE,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market (Solanum nigrum, Sida cordifolia Operculina turpethum and Nepeta hindostana) of food supplements from India"
58,information for follow-up,04/03/2015,30/03/2015,2015.0262,Poland,food,fish and fish products,illegal trade and unauthorised placing on the market of fresh fishery products from Poland
59,information for attention,04/03/2015,06/03/2015,2015.0263,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (100 mg/item) in vitamin B food supplement from the United States
60,information for follow-up,02/03/2015,20/05/2015,2015.0240,Sweden,food,fish and fish products,unauthorised placing on the market of salmon from Sweden
61,information for attention,02/03/2015,13/03/2015,2015.0249,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised substances vanadium and zinc picolinate (3.75 mg/capsule) in food supplement from the United States
62,information for follow-up,27/02/2015,04/05/2015,2015.0235,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market of food supplements containing ovine placenta powder, black cohosh root extract and tribulus alatus extract from the United States, via the Netherlands"
63,information for attention,27/02/2015,30/03/2015,2015.0239,United Kingdom,food,herbs and spices,unauthorised colour Rhodamine B (7 mg/kg - ppm) in fennel seeds from Pakistan
64,information for attention,25/02/2015,30/03/2015,2015.0222,Denmark,food,fruits and vegetables,adverse reaction caused by table grapes from South Africa
65,alert,18/02/2015,05/05/2015,2015.0191,Norway,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tadalafil in food supplements from China, via Germany"
66,information for attention,18/02/2015,10/03/2015,2015.0189,Ireland,food,prepared dishes and snacks,high content of aluminium (30 mg/kg - ppm) in noodles from India
67,information for follow-up,13/02/2015,10/07/2015,2015.0166,Cyprus,food,alcoholic beverages,unauthorised substance tetrahydrocannabinol (THC) (>0.2 %) in alcoholic drink with plants from the Czech Republic
68,alert,13/02/2015,09/04/2015,2015.0163,Norway,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin D (D3: 0.125 µg/capsule), of vitamin A, of vitamin B6 and of vitamin E in food supplements from Sweden"
69,information for follow-up,13/02/2015,09/04/2015,2015.0165,Norway,food,"dietetic foods, food supplements, fortified foods","magnesium aspartate unauthorised in food supplement from China, via Sweden"
70,alert,13/02/2015,09/04/2015,2015.0162,Norway,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin A (50 mg/capsule) in food supplement from the United States, via Sweden"
71,information for follow-up,13/02/2015,30/03/2015,2015.0160,Germany,food,meat and meat products (other than poultry),suspicion of unauthorised placing on the market of bovine casings from France unfit for human consumption (considered SRM)
72,border rejection,09/02/2015,09/02/2015,2015.AGE,Italy,food,fruits and vegetables,residue level above MRL for copper (122.2 mg/kg - ppm) in wine leaves from Turkey
73,information for follow-up,06/02/2015,09/04/2015,2015.0135,Lithuania,food,"dietetic foods, food supplements, fortified foods","magnesium aspartate unauthorised in food supplement from the United States, via the United Kingdom"
74,alert,27/01/2015,25/03/2015,2015.0089,Netherlands,food,"soups, broths, sauces and condiments",unauthorised colour methyl yellow in  bean curd products from Taiwan
75,information for follow-up,20/01/2015,29/05/2015,2015.0064,Germany,food,other food product / mixed,benzalkonium chloride (BAC) (19.6 mg/kg - ppm) in organic agave inulin from Mexico
76,border rejection,19/01/2015,19/01/2015,2015.ACJ,Finland,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (50 mg/item) in food supplement from the United States
77,border rejection,16/01/2015,24/02/2015,2015.ABZ,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market of food supplements containing Stephania or Chelidonium majus from Vietnam and Ukraine
78,alert,15/01/2015,09/04/2015,2015.0045,Sweden,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (dapoxetin, dithiodesmethylcarbodenafil and desmethylcarbodenafil) in power caps from Latvia, via Estonia"
79,alert,07/01/2015,06/05/2015,2015.0019,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances methyl-synephrine, phenethylamine and phenethylamine derivative (beta-methylphenethylamine) in food supplement from the United States, via the United Kingdom"
80,alert,06/01/2015,09/04/2015,2015.0015,Germany,food,fruits and vegetables,"high content of iodine (3439 mg/kg - ppm) in dried algae from China, via Hong Kong and via the Netherlands"
81,information for attention,02/01/2015,05/01/2015,2015.0004,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substances sildenafil thiono analogue and dimethylsildenafil in food supplement from Poland
82,alert,22/12/2014,23/12/2014,2014.1755,Belgium,food,"dietetic foods, food supplements, fortified foods","unauthorised substances sildenafil, sildenafil thiono analogue and vardenafil in food supplements from China, via the Netherlands"
83,alert,18/12/2014,27/02/2015,2014.1727,Denmark,food,"dietetic foods, food supplements, fortified foods","unauthorised ingredient (Tribulus terrestris) in testosterone booster T90 from the United States, via the Netherlands and via Spain"
84,alert,18/12/2014,22/01/2015,2014.1726,Sweden,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (dapoxetin, dithiodesmethylcarbodenafil and desmethylcarbodenafil) in food supplement from Estonia and Latvia"
85,alert,10/12/2014,05/01/2015,2014.1689,Sweden,food,"dietetic foods, food supplements, fortified foods","unauthorised substance synephrine in pre-workout supplement from the United States, via the United Kingdom"
86,alert,08/12/2014,25/06/2015,2014.1675,Germany,food,"dietetic foods, food supplements, fortified foods","risk of overdosage with nicotinic acid (2.819 g/100g) from consuming dietary supplement for sportsmen from the United States, via Austria and via Hungary"
87,information for attention,08/12/2014,30/12/2014,2014.1673,Slovakia,food,fruits and vegetables,too high content of nitrate (4439.2 mg/kg - ppm) in spinach from Italy
88,information for attention,08/12/2014,16/12/2014,2014.1676,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised substance 1,3 dimethylamylamine (DMAA) in dietetic food from South Africa"
89,border rejection,08/12/2014,08/12/2014,2014.BYM,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised substances vanadium, selenium amino acid chelate and molybdenum chelate in food supplement for pregnant women from the United States"
90,information for follow-up,05/12/2014,08/06/2015,2014.1665,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tetrahydrocannabinol (THC) (4.97 mg/kg - ppm) in food supplement from Poland, with raw material from China"
91,information for follow-up,05/12/2014,08/06/2015,2014.1663,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tetrahydrocannabinol (THC) (0.101 mg/kg - ppm) in food supplement from Poland, with raw material from China, via Hong Kong"
92,alert,05/12/2014,05/05/2015,2014.1664,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (720.5 mg/kg - ppm) in food supplement from the United States, via the Netherlands and via Poland"
93,alert,01/12/2014,19/05/2015,2014.1631,Italy,food,"dietetic foods, food supplements, fortified foods","unauthorised substance vardenafil in food supplement from China, via Spain"
94,alert,01/12/2014,12/02/2015,2014.1632,Italy,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (1.4; 1.5; 2.25 %) in food supplement from China, via Spain"
95,information for follow-up,28/11/2014,06/03/2015,2014.1623,Luxembourg,food,herbs and spices,unauthorised colour Sudan 4 (44 µg/kg - ppb) in yellow curry from Germany
96,information for follow-up,28/11/2014,01/12/2014,2014.1622,Luxembourg,food,"soups, broths, sauces and condiments",unauthorised colour Rhodamine B (17 µg/kg - ppb) in madras curry from Belgium
97,information for attention,25/11/2014,25/11/2014,2014.1608,Netherlands,food,fruits and vegetables,benzalkonium chloride (BAC) (9.0 mg/kg - ppm) in green asparagus from Peru
98,alert,21/11/2014,25/02/2015,2014.1586,Germany,food,cereals and bakery products,high content of aluminium (18; 162; 616; 734; 704 mg/kg - ppm) in rice noodle sticks from Thailand
99,border rejection,21/11/2014,21/11/2014,2014.BVD,Cyprus,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (70 mg/item) in food supplement from China
100,alert,20/11/2014,16/01/2015,2014.1577,Netherlands,food,fats and oils,unauthorised colour Sudan 4 (6400 µg/kg - ppb) in palm oil from Ghana
101,information for attention,06/11/2014,07/11/2014,2014.1504,Italy,food,poultry meat and poultry meat products,unauthorised placing on the market of deli meat products (poultry) from China
102,border rejection,04/11/2014,17/11/2014,2014.BSJ,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Hemidesmus indicus, novel food ingredient Hydrastis canadensis and novel food ingredient Ulmus pumila and unauthorised substance chromium polynicotinate in food supplement from the United States"
103,alert,30/10/2014,12/01/2015,2014.1461,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil (121 mg/item) in food supplement from Canada, via Slovakia and via Romania"
104,alert,27/10/2014,24/06/2015,2014.1445,Finland,food,fruits and vegetables,high content of iodine (265; 3920 mg/kg - ppm) in dried organic seaweed from Spain
105,border rejection,23/10/2014,24/10/2014,2014.BRB,Germany,food,fruits and vegetables,residue level above MRL for copper (241 mg/kg - ppm) in wine leaves from Turkey
106,border rejection,22/10/2014,22/10/2014,2014.BQU,Germany,food,fruits and vegetables,"residue level above MRL for copper (69,2 mg/kg - ppm) in vine leaves from Turkey"
107,information for follow-up,16/10/2014,21/11/2014,2014.1415,Ireland,food,bivalve molluscs and products thereof,suspicion of unauthorised placing on the market (due to possible contamination by lipophilic toxins) of scallops from France
108,border rejection,13/10/2014,14/10/2014,2014.BOZ,Portugal,food,"dietetic foods, food supplements, fortified foods",unauthorised substance molybdenum chelate in food supplement from the United States
109,border rejection,09/10/2014,09/10/2014,2014.BOQ,Finland,food,fruits and vegetables,high content of iodine (3200 mg/kg - ppm) in dried seaweed from China
110,information for follow-up,06/10/2014,24/04/2015,2014.1361,Lithuania,food,"dietetic foods, food supplements, fortified foods","magnesium aspartate unauthorised in food supplement from the United States, via the Netherlands and via Poland"
111,alert,02/10/2014,13/02/2015,2014.1339,Netherlands,food,"dietetic foods, food supplements, fortified foods","unauthorised substance 1,3-dimethylbutylamine (nor-DMAA) (25 g/kg) in food supplement from Canada, via the Netherlands"
112,information for attention,18/09/2014,18/09/2014,2014.1297,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised substance beta-phenylmethylamine in food supplement from Sweden
113,information for follow-up,17/09/2014,30/06/2015,2014.1293,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Gymnema syvestre and novel food ingredient Lagerstroemia speciosa and unauthorised substances vinpocetine, boron citrate, evodiamine and 3,3'-diindolylmethane (DIM) in food supplement from the United States, via the United Kingdom and via the Czech Republic"
114,information for follow-up,17/09/2014,01/10/2014,2014.1292,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Achyranthes aspera, potassium aspartate unauthorised and unauthorised substance superoxide dismutase in food supplement from the Netherlands"
115,information for follow-up,12/09/2014,13/11/2014,2014.1276,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances citrulline malate, beta-alanine and norvaline in food for particular nutritional use from the United States, via the Netherlands"
116,border rejection,09/09/2014,09/09/2014,2014.BLE,Germany,food,fruits and vegetables,residue level above MRL for copper (130 mg/kg - ppm) in vine leaves from Turkey
117,information for attention,08/09/2014,21/11/2014,2014.1250,Croatia,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil thiono analogue (347 mg/kg - ppm) in food supplement from China
118,information for attention,04/09/2014,11/09/2014,2014.1236,Croatia,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tadalafil (381 mg/kg - ppm) in food supplement from China, via Malaysia"
119,alert,04/09/2014,10/09/2014,2014.1238,Germany,food,cereals and bakery products,"high content of aluminium (413 mg/kg - ppm) in bot banh bao dumpling flour from Vietnam, via the Netherlands"
120,border rejection,29/08/2014,22/10/2014,2014.BKH,Germany,food,fruits and vegetables,residue level above MRL for copper (102 mg/kg - ppm) in vine leaves from Turkey
121,information for attention,29/08/2014,29/09/2014,2014.1216,Croatia,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (242 mg/kg - ppm) in food supplement from China
122,alert,28/08/2014,08/06/2015,2014.1205,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tetrahydrocannabinol (THC) (0.244 mg/kg - ppm) in Tribulus terrestris extract from Romania, with raw material from China"
123,information for follow-up,28/08/2014,14/01/2015,2014.1201,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substances evodiamine and phenethylamine in food supplement from the United States
124,information for attention,28/08/2014,28/08/2014,2014.1197,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised novel food ingredient betaine and unauthorised substance yohimbine in food supplement from the United States
125,alert,26/08/2014,29/09/2015,2014.1182,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient ginseng (Siberian) and novel food ingredient milk thistle (Silybum marianum), unauthorised substances arginine alphaketoglutarate and L-carnitine fumarate in and insufficient labelling (warning only in English language) of training supplement from the United States, via Austria"
126,border rejection,25/08/2014,26/08/2014,2014.BJN,Spain,food,prepared dishes and snacks,"too high content of colour E 102 - tartrazine (100 mg/kg - ppm), unauthorised animal ingredient (egg white) and unauthorised use of colour E 132 - indigotine /  indigo carmine (500 mg/kg - ppm) in noodles from Japan"
127,information for attention,21/08/2014,02/10/2014,2014.1171,Croatia,food,"dietetic foods, food supplements, fortified foods",unauthorised substance tadalafil (60.2 mg/kg - ppm) in food supplement from China
128,information for attention,21/08/2014,29/08/2014,2014.1174,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient betaine and unauthorised substances citrulline malate, arginine alphaketoglutarate, beta-alanine and L-Norvaline in food supplement from Poland"
129,information for follow-up,20/08/2014,18/06/2015,2014.1162,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substance guggulsterone in food supplement from the United States
130,information for follow-up,20/08/2014,29/08/2014,2014.1159,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substance yohimbine in food supplement from the United States
131,alert,14/08/2014,19/09/2014,2014.1144,Hungary,food,"dietetic foods, food supplements, fortified foods",benzalkonium chloride (BAC) (>9500 mg/kg - ppm) and didecyldimethylammonium chloride (DDAC) (0.81 mg/kg - ppm) in grapefruit seed extract from Switzerland
132,alert,13/08/2014,08/06/2015,2014.1137,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance tetrahydrocannabinol (THC) (2.53 mg/kg - ppm) in food supplement from Hungary
133,border rejection,12/08/2014,12/08/2014,2014.BID,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised ingredient (Rauwolfia serpentina, Areca catechu, Sida cordifolia, Ipomoea turphetum) and novel food ingredient Mucuna pruriens in various food supplements from India"
134,information for follow-up,11/08/2014,28/05/2015,2014.1124,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Mucuna pruriens and unauthorised substance vinpocetine in food supplement from the United Kingdom, Hungary, Poland and the United States"
135,information for follow-up,11/08/2014,22/09/2014,2014.1125,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised novel food ingredient Mucuna pruriens and unauthorised substance vinpocetine in food supplement from the United States
136,alert,11/08/2014,11/08/2014,2014.1123,Germany,food,other food product / mixed,high content of aluminium (87.4 mg/kg - ppm) in glass noodles from beans from China
137,alert,06/08/2014,08/06/2015,2014.1104,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substances androstenedione (0.417; 1.34 mg/kg - ppm) and tetrahydrocannabinol (THC) (14.8; 31.4 mg/kg - ppm) in food supplement from Germany
138,alert,06/08/2014,27/08/2014,2014.1107,Germany,food,cereals and bakery products,high content of aluminium (513; 942; 125; 1670 mg/kg - ppm) in cake flour from Vietnam
139,border rejection,05/08/2014,08/08/2014,2014.BHF,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (67.7 mg/item) in food supplements dispatched from China
140,information for attention,05/08/2014,06/08/2014,2014.1099,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (557 mg/kg - ppm) in food supplement from the United States, via the Netherlands"
141,alert,31/07/2014,14/11/2014,2014.1069,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance progesterone (1.76 g/kg) in food supplement from the Czech Republic
142,alert,30/07/2014,01/09/2014,2014.1052,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised ingredient (androgenic anabolic steroid) in food supplement from Bulgaria
143,alert,30/07/2014,01/09/2014,2014.1046,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised ingredient (androgenic anabolic steroid: 0.103 mg/kg - ppm) in food supplement from Bulgaria
144,border rejection,28/07/2014,07/08/2014,2014.BFO,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substances sildenafil (2.26 mg/item) and tadalafil (0.21 mg/item) in food supplement dispatched from China
145,information for follow-up,25/07/2014,24/04/2015,2014.1032,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances vinpocetine and boron citrate in food supplement from the United States, via the United Kingdom and via Spain"
146,information for follow-up,25/07/2014,12/09/2014,2014.1033,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances vinpocetine, citrulline malate and L-carnitine fumarate in food for particular nutritional use from the United States"
