classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
alert,11/06/2015,27/08/2015,2015.0735,Germany,food,fruits and vegetables,high content of iodine (2423 mg/kg - ppm) in dried seaweed from Japan,co,iodine,2423 mg/kg - ppm,dried seaweed,Japan
alert,03/06/2015,03/06/2015,2015.0675,Czech Republic,food,"nuts, nut products and seeds","high content of morphine (137 mg/kg - ppm) in blue poppy seeds from Australia, via the Netherlands",co,morphine,137 mg/kg - ppm,blue poppy seed,"Australia, via the Netherlands"
border rejection,28/05/2015,28/05/2015,2015.AXZ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (30000 µg/kg - ppb) in palm oil from Nigeria,co,colour Sudan 4,30000 µg/kg - ppb,palm oil,Nigeria
alert,27/05/2015,29/06/2015,2015.0646,Sweden,food,"dietetic foods, food supplements, fortified foods",risk of overdosage with nicotinic acid (1500 /mg) from consuming food supplement from the United States,co,risk of overdosage with nicotinic acid,1500 /mg,risk of overdosage with nicotinic acid (1500 /mg),the United States
alert,21/05/2015,05/06/2015,2015.0619,Czech Republic,food,"nuts, nut products and seeds","high content of morphine (96.93 mg/kg - ppm) in poppy seed from France, via Poland",co,morphine,96.93 mg/kg - ppm,poppy seed,"France, via Poland"
information for attention,21/05/2015,21/05/2015,2015.0615,Switzerland,food,fruits and vegetables,"too high content of nitrate (4700 mg/kg - ppm) and unauthorised substances carbendazim (1.12 mg/kg - ppm), chlorfenapyr (0.20 mg/kg - ppm) and chlorfluazuron (0.06 mg/kg - ppm) in kale from Vietnam",co,nitrate,4700 mg/kg - ppm,kale,Vietnam
border rejection,08/05/2015,19/05/2015,2015.AVS,United Kingdom,food,non-alcoholic beverages,unauthorised substance ethylenediaminetetraacetic acid (EDTA) (mentioned on label) in orange soft drink from the United Arab Emirates,co,ethylenediaminetetraacetic acid,EDTA,orange soft drink,the United Arab Emirates
information for attention,07/05/2015,11/06/2015,2015.0560,United Kingdom,food,herbs and spices,unauthorised colours Sudan 1 (20 µg/kg - ppb) and Orange II (1400 µg/kg - ppb) in sumac from Iran,co,colour Sudan 1,20 µg/kg - ppb,sumac,Iran
information for attention,07/05/2015,08/05/2015,2015.0564,Germany,food,cereals and bakery products,high content of aluminium (408 mg/kg - ppm) in glass noodles from Vietnam,co,aluminium,408 mg/kg - ppm,glass noodle,Vietnam
border rejection,07/05/2015,07/05/2015,2015.AVL,Germany,food,fruits and vegetables,too high content of copper (120 mg/kg dry matter) in vine leaves in brine from Turkey,co,copper,120 mg/kg dry matter,vine leaves in brine,Turkey
information for attention,30/04/2015,30/04/2015,2015.0535,Bulgaria,food,"dietetic foods, food supplements, fortified foods",unauthorised substance stanozolol (11 mg/kg - ppm) in food supplement from Bulgaria,co,stanozolol,11 mg/kg - ppm,food supplement,Bulgaria
information for attention,24/04/2015,19/05/2015,2015.0521,Czech Republic,food,fruits and vegetables,"too high content of nitrate (6630 mg/kg - ppm) in fresh baby spinach from Italy, via Hungary and via Poland",co,nitrate,6630 mg/kg - ppm,fresh baby spinach,"Italy, via Hungary and via Poland"
information for follow-up,23/04/2015,02/07/2015,2015.0517,Estonia,food,food additives and flavourings,"unauthorised smoke flavouring from the United States, via Sweden",co,smoke flavouring,,unauthorised smoke flavouring,"the United States, via Sweden"
alert,22/04/2015,04/06/2015,2015.0508,France,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (dithiodesmethylcarbodenafil, desmethylcarbodenafil and carbodenafil) in food supplement from Latvia, via Portugal",co,sildenafil thiono analogue,"dithiodesmethylcarbodenafil, desmethylcarbodenafil and carbodenafil",food supplement,"Latvia, via Portugal"
information for follow-up,16/04/2015,30/04/2015,2015.0479,Lithuania,food,"dietetic foods, food supplements, fortified foods","unauthorised substances zinc amino acid chelate (3 mg/item), selenium amino acid chelate (0.025 mg/item), copper amino acid chelate (0.025 mg/item), manganese amino acid chelate (0.5 mg/item), chromium dinicotinate glycinate (20 mg/item) and niacinamide (10 mg/item) in food supplement from the United States, via Latvia",co,zinc amino acid chelate,3 mg/item,food supplement,"the United States, via Latvia"
alert,07/04/2015,24/04/2015,2015.0436,Sweden,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin D (125 µg/capsule) in vitamin D3 & K2 from the United States, via Norway",co,vitamin D,125 µg/capsule,vitamin d3 & k2,"the United States, via Norway"
alert,01/04/2015,27/04/2015,2015.0406,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised substance gamma-aminobutyric acid (GABA) in food supplement from the Netherlands,co,gamma-aminobutyric acid,GABA,food supplement,the Netherlands
information for attention,31/03/2015,04/05/2015,2015.0393,Switzerland,food,fruits and vegetables,"cyromazine (0.09 mg/kg - ppm) and flubendiamide (0.03 mg/kg - ppm), too high content of nitrate (3375 mg/kg - ppm) and unauthorised substance carbendazim (0.68 mg/kg - ppm) in kale cai ro (Thai broccoli) from Vietnam",co,cyromazine,0.09 mg/kg - ppm,kale cai ro (thai broccoli),Vietnam
information for follow-up,27/03/2015,22/06/2015,2015.0375,Netherlands,food,fruits and vegetables,high content of aluminium (31 mg/kg - ppm) in plantain flour from the United States,co,aluminium,31 mg/kg - ppm,plantain flour,the United States
alert,27/03/2015,29/04/2015,2015.0381,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (50 mg/capsule) in vitamine B6 from Sweden,co,vitamin B6,50 mg/capsule,vitamine b6,Sweden
information for attention,26/03/2015,31/03/2015,2015.0369,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin D (D3: 125 µg/daily dose) in food supplement from the United States,co,vitamin D,D3: 125 µg/daily dose,food supplement,the United States
alert,23/03/2015,27/04/2015,2015.0348,Germany,food,fruits and vegetables,"high content of iodine (33 mg/kg - ppm) in dried seaweed from China, via the Netherlands",co,iodine,33 mg/kg - ppm,dried seaweed,"China, via the Netherlands"
border rejection,17/03/2015,24/03/2015,2015.ALW,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance 5-hydroxytryptophan (5-HTP) in food supplement from China,co,5-hydroxytryptophan,5-HTP,food supplement,China
information for follow-up,12/03/2015,24/03/2015,2015.0300,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised substances vanadium (5.98 mg/kg - ppm) and ethylenediaminetetraacetic acid (EDTA) (200 mg/item) in food supplement from the United States,co,vanadium,5.98 mg/kg - ppm,food supplement,the United States
alert,10/03/2015,09/04/2015,2015.0288,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin A (12500 µg/capsule) in food supplement from Sweden,co,vitamin A,12500 µg/capsule,food supplement,Sweden
information for follow-up,09/03/2015,09/04/2015,2015.0283,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin D (175 µg/item) in food supplement from Sweden,co,vitamin D,175 µg/item,food supplement,Sweden
information for follow-up,09/03/2015,09/04/2015,2015.0280,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin D (125 µg/capsule) in food supplement from Sweden,co,vitamin D,125 µg/capsule,food supplement,Sweden
alert,09/03/2015,19/03/2015,2015.0279,Germany,food,fats and oils,"unauthorised colour Sudan 4 (1.9 mg/kg - ppm) in red palmoil from unknown origin, via the Netherlands",co,colour Sudan 4,1.9 mg/kg - ppm,red palmoil,"unknown origin, via the Netherlands"
alert,09/03/2015,12/03/2015,2015.0284,Norway,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin A (12500 µg/capsule) in food supplement from Sweden,co,vitamin A,12500 µg/capsule,food supplement,Sweden
information for follow-up,06/03/2015,07/04/2015,2015.0278,Ireland,food,bivalve molluscs and products thereof,unauthorised placing on the market (illegally harvested) of oysters from Ireland,co,,illegally harvested,unauthorised placing on the market (illegally harvested) of oysters,Ireland
border rejection,06/03/2015,12/03/2015,2015.AKE,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market (Solanum nigrum, Sida cordifolia Operculina turpethum and Nepeta hindostana) of food supplements from India",co,,"Solanum nigrum, Sida cordifolia Operculina turpethum and Nepeta hindostana","unauthorised placing on the market (solanum nigrum, sida cordifolia operculina turpethum and nepeta hindostana) of food supplement",India
information for follow-up,04/03/2015,30/03/2015,2015.0262,Poland,food,fish and fish products,illegal trade and unauthorised placing on the market of fresh fishery products from Poland,co,,,fresh fishery products,Poland
information for attention,04/03/2015,06/03/2015,2015.0263,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (100 mg/item) in vitamin B food supplement from the United States,co,vitamin B6,100 mg/item,vitamin b food supplement,the United States
information for follow-up,02/03/2015,20/05/2015,2015.0240,Sweden,food,fish and fish products,unauthorised placing on the market of salmon from Sweden,co,,,salmon,Sweden
information for attention,02/03/2015,13/03/2015,2015.0249,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised substances vanadium and zinc picolinate (3.75 mg/capsule) in food supplement from the United States,co,vanadium,3.75 mg/capsule,food supplement,the United States
information for follow-up,27/02/2015,04/05/2015,2015.0235,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market of food supplements containing ovine placenta powder, black cohosh root extract and tribulus alatus extract from the United States, via the Netherlands",co,,,"food supplement containing ovine placenta powder, black cohosh root extract and tribulus alatus extract","the United States, via the Netherlands"
information for attention,27/02/2015,30/03/2015,2015.0239,United Kingdom,food,herbs and spices,unauthorised colour Rhodamine B (7 mg/kg - ppm) in fennel seeds from Pakistan,co,colour Rhodamine B,7 mg/kg - ppm,fennel seeds,Pakistan
information for attention,25/02/2015,30/03/2015,2015.0222,Denmark,food,fruits and vegetables,adverse reaction caused by table grapes from South Africa,co,,,table grapes,South Africa
alert,18/02/2015,05/05/2015,2015.0191,Norway,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tadalafil in food supplements from China, via Germany",co,tadalafil,,food supplement,"China, via Germany"
information for attention,18/02/2015,10/03/2015,2015.0189,Ireland,food,prepared dishes and snacks,high content of aluminium (30 mg/kg - ppm) in noodles from India,co,aluminium,30 mg/kg - ppm,noodle,India
information for follow-up,13/02/2015,10/07/2015,2015.0166,Cyprus,food,alcoholic beverages,unauthorised substance tetrahydrocannabinol (THC) (>0.2 %) in alcoholic drink with plants from the Czech Republic,co,tetrahydrocannabinol,THC,alcoholic drink with plants,the Czech Republic
alert,13/02/2015,09/04/2015,2015.0163,Norway,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin D (D3: 0.125 µg/capsule), of vitamin A, of vitamin B6 and of vitamin E in food supplements from Sweden",co,vitamin D,D3: 0.125 µg/capsule,food supplement,Sweden
information for follow-up,13/02/2015,09/04/2015,2015.0165,Norway,food,"dietetic foods, food supplements, fortified foods","magnesium aspartate unauthorised in food supplement from China, via Sweden",co,magnesium aspartate,,food supplement,"China, via Sweden"
alert,13/02/2015,09/04/2015,2015.0162,Norway,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin A (50 mg/capsule) in food supplement from the United States, via Sweden",co,vitamin A,50 mg/capsule,food supplement,"the United States, via Sweden"
information for follow-up,13/02/2015,30/03/2015,2015.0160,Germany,food,meat and meat products (other than poultry),suspicion of unauthorised placing on the market of bovine casings from France unfit for human consumption (considered SRM),co,,,bovine casings,France unfit for human consumption (considered SRM)
border rejection,09/02/2015,09/02/2015,2015.AGE,Italy,food,fruits and vegetables,residue level above MRL for copper (122.2 mg/kg - ppm) in wine leaves from Turkey,co,residue level above MRL for copper,122.2 mg/kg - ppm,wine leaves,Turkey
information for follow-up,06/02/2015,09/04/2015,2015.0135,Lithuania,food,"dietetic foods, food supplements, fortified foods","magnesium aspartate unauthorised in food supplement from the United States, via the United Kingdom",co,magnesium aspartate,,food supplement,"the United States, via the United Kingdom"
alert,27/01/2015,25/03/2015,2015.0089,Netherlands,food,"soups, broths, sauces and condiments",unauthorised colour methyl yellow in  bean curd products from Taiwan,co,colour methyl yellow,,bean curd products,Taiwan
information for follow-up,20/01/2015,29/05/2015,2015.0064,Germany,food,other food product / mixed,benzalkonium chloride (BAC) (19.6 mg/kg - ppm) in organic agave inulin from Mexico,co,benzalkonium chloride,BAC,organic agave inulin,Mexico
border rejection,19/01/2015,19/01/2015,2015.ACJ,Finland,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (50 mg/item) in food supplement from the United States,co,vitamin B6,50 mg/item,food supplement,the United States
border rejection,16/01/2015,24/02/2015,2015.ABZ,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market of food supplements containing Stephania or Chelidonium majus from Vietnam and Ukraine,co,,,food supplement containing stephania or chelidonium majus,Vietnam and Ukraine
alert,15/01/2015,09/04/2015,2015.0045,Sweden,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (dapoxetin, dithiodesmethylcarbodenafil and desmethylcarbodenafil) in power caps from Latvia, via Estonia",co,sildenafil thiono analogue,"dapoxetin, dithiodesmethylcarbodenafil and desmethylcarbodenafil",power caps,"Latvia, via Estonia"
alert,07/01/2015,06/05/2015,2015.0019,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances methyl-synephrine, phenethylamine and phenethylamine derivative (beta-methylphenethylamine) in food supplement from the United States, via the United Kingdom",co,"methyl-synephrine, phenethylamine",beta-methylphenethylamine,food supplement,"the United States, via the United Kingdom"
alert,06/01/2015,09/04/2015,2015.0015,Germany,food,fruits and vegetables,"high content of iodine (3439 mg/kg - ppm) in dried algae from China, via Hong Kong and via the Netherlands",co,iodine,3439 mg/kg - ppm,dried algae,"China, via Hong Kong and via the Netherlands"
information for attention,02/01/2015,05/01/2015,2015.0004,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substances sildenafil thiono analogue and dimethylsildenafil in food supplement from Poland,co,sildenafil thiono analogue,,food supplement,Poland
alert,22/12/2014,23/12/2014,2014.1755,Belgium,food,"dietetic foods, food supplements, fortified foods","unauthorised substances sildenafil, sildenafil thiono analogue and vardenafil in food supplements from China, via the Netherlands",co,"sildenafil, sildenafil thiono analogue",,food supplement,"China, via the Netherlands"
alert,18/12/2014,27/02/2015,2014.1727,Denmark,food,"dietetic foods, food supplements, fortified foods","unauthorised ingredient (Tribulus terrestris) in testosterone booster T90 from the United States, via the Netherlands and via Spain",co,,,testosterone booster t90,"the United States, via the Netherlands and via Spain"
alert,18/12/2014,22/01/2015,2014.1726,Sweden,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (dapoxetin, dithiodesmethylcarbodenafil and desmethylcarbodenafil) in food supplement from Estonia and Latvia",co,sildenafil thiono analogue,"dapoxetin, dithiodesmethylcarbodenafil and desmethylcarbodenafil",food supplement,Estonia and Latvia
alert,10/12/2014,05/01/2015,2014.1689,Sweden,food,"dietetic foods, food supplements, fortified foods","unauthorised substance synephrine in pre-workout supplement from the United States, via the United Kingdom",co,synephrine,,pre-workout supplement,"the United States, via the United Kingdom"
alert,08/12/2014,25/06/2015,2014.1675,Germany,food,"dietetic foods, food supplements, fortified foods","risk of overdosage with nicotinic acid (2.819 g/100g) from consuming dietary supplement for sportsmen from the United States, via Austria and via Hungary",co,risk of overdosage with nicotinic acid,2.819 g/100g,risk of overdosage with nicotinic acid (2.819 g/100g),"the United States, via Austria and via Hungary"
information for attention,08/12/2014,30/12/2014,2014.1673,Slovakia,food,fruits and vegetables,too high content of nitrate (4439.2 mg/kg - ppm) in spinach from Italy,co,nitrate,4439.2 mg/kg - ppm,spinach,Italy
information for attention,08/12/2014,16/12/2014,2014.1676,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised substance 1,3 dimethylamylamine (DMAA) in dietetic food from South Africa",co,"1,3 dimethylamylamine",DMAA,dietetic food,South Africa
border rejection,08/12/2014,08/12/2014,2014.BYM,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised substances vanadium, selenium amino acid chelate and molybdenum chelate in food supplement for pregnant women from the United States",co,"vanadium, selenium amino acid chelate",,food supplement for pregnant women,the United States
information for follow-up,05/12/2014,08/06/2015,2014.1665,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tetrahydrocannabinol (THC) (4.97 mg/kg - ppm) in food supplement from Poland, with raw material from China",co,tetrahydrocannabinol,THC,food supplement,"Poland, with raw material from China"
information for follow-up,05/12/2014,08/06/2015,2014.1663,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tetrahydrocannabinol (THC) (0.101 mg/kg - ppm) in food supplement from Poland, with raw material from China, via Hong Kong",co,tetrahydrocannabinol,THC,food supplement,"Poland, with raw material from China, via Hong Kong"
alert,05/12/2014,05/05/2015,2014.1664,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (720.5 mg/kg - ppm) in food supplement from the United States, via the Netherlands and via Poland",co,vitamin B6,720.5 mg/kg - ppm,food supplement,"the United States, via the Netherlands and via Poland"
alert,01/12/2014,19/05/2015,2014.1631,Italy,food,"dietetic foods, food supplements, fortified foods","unauthorised substance vardenafil in food supplement from China, via Spain",co,vardenafil,,food supplement,"China, via Spain"
alert,01/12/2014,12/02/2015,2014.1632,Italy,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue (1.4; 1.5; 2.25 %) in food supplement from China, via Spain",co,sildenafil thiono analogue,1.4; 1.5; 2.25 %,food supplement,"China, via Spain"
information for follow-up,28/11/2014,06/03/2015,2014.1623,Luxembourg,food,herbs and spices,unauthorised colour Sudan 4 (44 µg/kg - ppb) in yellow curry from Germany,co,colour Sudan 4,44 µg/kg - ppb,yellow curry,Germany
information for follow-up,28/11/2014,01/12/2014,2014.1622,Luxembourg,food,"soups, broths, sauces and condiments",unauthorised colour Rhodamine B (17 µg/kg - ppb) in madras curry from Belgium,co,colour Rhodamine B,17 µg/kg - ppb,madras curry,Belgium
information for attention,25/11/2014,25/11/2014,2014.1608,Netherlands,food,fruits and vegetables,benzalkonium chloride (BAC) (9.0 mg/kg - ppm) in green asparagus from Peru,co,benzalkonium chloride,BAC,green asparagus,Peru
alert,21/11/2014,25/02/2015,2014.1586,Germany,food,cereals and bakery products,high content of aluminium (18; 162; 616; 734; 704 mg/kg - ppm) in rice noodle sticks from Thailand,co,aluminium,18; 162; 616; 734; 704 mg/kg - ppm,rice noodle sticks,Thailand
border rejection,21/11/2014,21/11/2014,2014.BVD,Cyprus,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (70 mg/item) in food supplement from China,co,sildenafil,70 mg/item,food supplement,China
alert,20/11/2014,16/01/2015,2014.1577,Netherlands,food,fats and oils,unauthorised colour Sudan 4 (6400 µg/kg - ppb) in palm oil from Ghana,co,colour Sudan 4,6400 µg/kg - ppb,palm oil,Ghana
information for attention,06/11/2014,07/11/2014,2014.1504,Italy,food,poultry meat and poultry meat products,unauthorised placing on the market of deli meat products (poultry) from China,co,,poultry,deli meat products (poultry),China
border rejection,04/11/2014,17/11/2014,2014.BSJ,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Hemidesmus indicus, novel food ingredient Hydrastis canadensis and novel food ingredient Ulmus pumila and unauthorised substance chromium polynicotinate in food supplement from the United States",co,"novel food ingredient Hemidesmus indicus, novel food ingredient Hydrastis canadensis",,food supplement,the United States
alert,30/10/2014,12/01/2015,2014.1461,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil (121 mg/item) in food supplement from Canada, via Slovakia and via Romania",co,sildenafil,121 mg/item,food supplement,"Canada, via Slovakia and via Romania"
alert,27/10/2014,24/06/2015,2014.1445,Finland,food,fruits and vegetables,high content of iodine (265; 3920 mg/kg - ppm) in dried organic seaweed from Spain,co,iodine,265; 3920 mg/kg - ppm,dried organic seaweed,Spain
border rejection,23/10/2014,24/10/2014,2014.BRB,Germany,food,fruits and vegetables,residue level above MRL for copper (241 mg/kg - ppm) in wine leaves from Turkey,co,residue level above MRL for copper,241 mg/kg - ppm,wine leaves,Turkey
border rejection,22/10/2014,22/10/2014,2014.BQU,Germany,food,fruits and vegetables,"residue level above MRL for copper (69,2 mg/kg - ppm) in vine leaves from Turkey",co,residue level above MRL for copper,"69,2 mg/kg - ppm",vine leaves,Turkey
information for follow-up,16/10/2014,21/11/2014,2014.1415,Ireland,food,bivalve molluscs and products thereof,suspicion of unauthorised placing on the market (due to possible contamination by lipophilic toxins) of scallops from France,co,,due to possible contamination by lipophilic toxins,suspicion of unauthorised placing on the market (due to possible contamination by lipophilic toxins) of scallops,France
border rejection,13/10/2014,14/10/2014,2014.BOZ,Portugal,food,"dietetic foods, food supplements, fortified foods",unauthorised substance molybdenum chelate in food supplement from the United States,co,molybdenum chelate,,food supplement,the United States
border rejection,09/10/2014,09/10/2014,2014.BOQ,Finland,food,fruits and vegetables,high content of iodine (3200 mg/kg - ppm) in dried seaweed from China,co,iodine,3200 mg/kg - ppm,dried seaweed,China
information for follow-up,06/10/2014,24/04/2015,2014.1361,Lithuania,food,"dietetic foods, food supplements, fortified foods","magnesium aspartate unauthorised in food supplement from the United States, via the Netherlands and via Poland",co,magnesium aspartate,,food supplement,"the United States, via the Netherlands and via Poland"
