,classification,date_case,date_last_change,reference,country,type,category,subject
18,information for follow-up,24/07/2015,23/09/2015,2015.0962,Denmark,food,fruits and vegetables,"unauthorised use of colour E 102 - tartrazine (declared on label), of colour E 129 - Allura Red AC (76 mg/kg - ppm) and of colour E 133 - Brilliant Blue FCF (declared on label) in preserved coconut gel from the Philippines, via the Netherlands"
19,information for follow-up,24/07/2015,05/08/2015,2015.0963,Slovakia,food,fruits and vegetables,"unauthorised use of colour E 124 - Ponceau 4R / cochineal red A (10 mg/kg - ppm) in strawberries in syrup from China, via the Czech Republic"
20,border rejection,20/07/2015,29/07/2015,2015.BEK,Latvia,food,fruits and vegetables,too high content of sulphite (2685 mg/kg - ppm) in dried apricots from Turkey
21,information for attention,13/07/2015,06/08/2015,2015.0900,Spain,food,crustaceans and products thereof,too high content of sulphite (253 mg/kg - ppm) in frozen red shrimps (Solenocera melantho) from China
22,alert,13/07/2015,27/07/2015,2015.0899,Italy,food,crustaceans and products thereof,undeclared sulphite in Norway lobster (Nephrops norvegicus) from Croatia
23,information for attention,07/07/2015,21/07/2015,2015.0872,Italy,food,meat and meat products (other than poultry),unauthorised use of colour E 124 - Ponceau 4R / cochineal red A (8.4 mg/kg - ppm) in salami from Romania
24,information for attention,02/07/2015,31/07/2015,2015.0853,Italy,food,fish and fish products,E 452 - polyphosphates (2.67 mg/kg - ppm) unauthorised in chilled vacuum packed yellowfin tuna (Thunnus albacares) from Spain
25,information for follow-up,01/07/2015,17/07/2015,2015.0849,Sweden,food,cereals and bakery products,"unauthorised use of colour E 127 - erythrosine in rice flour balls from the Philippines, via the Netherlands"
26,information for follow-up,01/07/2015,09/07/2015,2015.0848,Sweden,food,food additives and flavourings,"unauthorised use of colour E 123 - amaranth in flavouring from unknown origin, via the United Kingdom"
27,border rejection,01/07/2015,01/07/2015,2015.BBZ,Spain,food,fruits and vegetables,too high content of colour E 102 - tartrazine (0.08 %) and unauthorised use of colour E 110 - Sunset Yellow FCF (0.005 %) and of colour E 129 - Allura Red AC (0.08 %) in canned preserved vegetables from Mexico
28,information for attention,29/06/2015,17/07/2015,2015.0837,Italy,food,fish and fish products,E 452 - polyphosphates unauthorised in chilled plaice fillets (Pleuronectes platessa) from the Netherlands
29,border rejection,26/06/2015,26/06/2015,2015.BBG,Spain,food,fruits and vegetables,"too high content of E 211 - sodium benzoate (1000 mg/kg - ppm) and of E 202 - potassium sorbate (1000; 2000; 800 mg/kg - ppm) and E 385 - calcium disodium ethylene diamine tetra acetate (CDEDTA), E 321 - butylated hydroxytoluene (BHT) (presence) and E 223 -  Sodium metabisulphite (presence) unauthorised in preserved vegetables from Mexico"
30,information for attention,25/06/2015,14/09/2015,2015.0815,Italy,food,crustaceans and products thereof,undeclared sulphite (340.5 mg/kg - ppm) in deep water rose shrimps (Parapeneaus Longirostris) from Croatia
31,information for follow-up,23/06/2015,01/07/2015,2015.0802,Slovakia,food,fruits and vegetables,"unauthorised use of colour E 124 - Ponceau 4R / cochineal red A (7 mg/kg - ppm) in strawberries in syrup from China, via the Czech Republic"
32,information for follow-up,23/06/2015,23/06/2015,2015.0804,Ireland,food,confectionery,unauthorised food additive isopropyl alcohol in cake decoration food pen from the United Kingdom
33,information for follow-up,17/06/2015,20/07/2015,2015.0771,Belgium,food,confectionery,"unauthorised use of colour E 127 - erythrosine (56 mg/kg - ppm) in cupcakes from South Africa, via the Netherlands"
34,information for follow-up,15/06/2015,30/06/2015,2015.0761,Denmark,food,cereals and bakery products,"unauthorised use of colour E 110 - Sunset Yellow FCF (0.55 mg/kg - ppm) in lemon cream wafers from Sri Lanka, via Germany"
35,border rejection,12/06/2015,19/06/2015,2015.AZT,Italy,food,confectionery,"too high content of colour E 102 - tartrazine, of colour E 122 - azorubine, of colour E 129 - Allura Red AC and of colour E 133 - Brilliant Blue FCF (combined level of dyes > 300 mg/kg - ppm) in marshmallows from China"
36,information for attention,11/06/2015,19/06/2015,2015.0734,Italy,food,crustaceans and products thereof,too high content of sulphite (674 mg/kg - ppm) in chilled rose shrimps (Parapenaus longirostris) from Croatia
37,information for follow-up,11/06/2015,11/06/2015,2015.0741,France,food,"dietetic foods, food supplements, fortified foods",high content of caffeine (17.1mg /100g) in food supplement from the Netherlands
38,information for follow-up,09/06/2015,17/07/2015,2015.0719,Italy,food,fish and fish products,"E 450 - diphosphate (2.37 g/kg) unauthorised in chilled vacuum packed yellow fin tuna from Spain, with raw material from Mexico"
39,information for follow-up,04/06/2015,03/07/2015,2015.0688,Italy,food,fish and fish products,E 251 - sodium nitrate (86.7 mg/kg - ppm) unauthorised in chilled tuna (Thunnus albacares) from Spain
40,information for follow-up,02/06/2015,11/06/2015,2015.0672,Denmark,food,"soups, broths, sauces and condiments","unauthorised use of colour E 110 - Sunset Yellow FCF (260 mg/kg - ppm) in banana sauces from the Philippines, via the Netherlands and via the United Kingdom"
41,border rejection,01/06/2015,06/08/2015,2015.AYK,Malta,food,fruits and vegetables,"too high content of sulphite and undeclared sulphite (4958 mg/kg - ppm) in dried apricots from Turkey, via Lebanon"
42,information for attention,01/06/2015,01/06/2015,2015.0661,Italy,food,fish and fish products,E 452 - polyphosphates (2.51 g/kg) unauthorised in fresh tuna from Spain
43,information for attention,29/05/2015,29/06/2015,2015.0653,Denmark,food,fruits and vegetables,undeclared sulphite (170; 160 mg/kg - ppm) in pickled lotus rootlet in brine from Thailand
44,alert,29/05/2015,29/06/2015,2015.0650,Austria,food,fruits and vegetables,"too high content of sulphite (4100 mg/kg - ppm) and undeclared sulphite in asparagus from China, via the Netherlands"
45,border rejection,28/05/2015,04/06/2015,2015.AYD,Spain,food,other food product / mixed,unauthorised use of colour E 124 - Ponceau 4R / cochineal red A in syrup for the preparation of aromatised  beverages from Pakistan
46,information for follow-up,22/05/2015,11/06/2015,2015.0633,Italy,food,"dietetic foods, food supplements, fortified foods",too high content of sweetener E 954 - saccharin (143 mg/l) in liquid food supplement from France
47,information for attention,22/05/2015,22/05/2015,2015.0626,Italy,food,crustaceans and products thereof,too high content of sulphite (348 mg/kg - ppm) in chilled prawns (Parapenaeus longirostris) from Croatia
48,information for attention,11/05/2015,11/05/2015,2015.0579,Malta,food,fruits and vegetables,undeclared sulphite (1505 mg/kg - ppm) in dried apricots from Turkey
49,alert,30/04/2015,09/07/2015,2015.0541,Poland,food,fruits and vegetables,undeclared sulphite (173 mg/kg - ppm) in dried cranberries from the United States
50,border rejection,28/04/2015,06/05/2015,2015.ATT,United Kingdom,food,non-alcoholic beverages,unauthorised use of colour E 110 - Sunset Yellow FCF (98 mg/l) in soft drink
51,information for attention,24/04/2015,26/05/2015,2015.0523,United Kingdom,food,herbs and spices,undeclared sulphite (40 mg/kg - ppm) and soya in seasoning from Pakistan
52,border rejection,22/04/2015,22/04/2015,2015.ASL,Italy,food,non-alcoholic beverages,sweetener E 950 - acesulfame k unauthorised in fruit juice from Georgia
53,border rejection,20/04/2015,29/04/2015,2015.ARY,France,food,fruits and vegetables,too high content of sulphite (2569 mg/kg - ppm) in dried apricots from Turkey
54,border rejection,20/04/2015,20/04/2015,2015.ASA,France,food,fruits and vegetables,too high content of sulphite (2384 mg/kg - ppm) in dried apricots from Turkey
55,information for follow-up,15/04/2015,23/07/2015,2015.0478,Spain,food,confectionery,too high content of colour E 124 - Ponceau 4R / cochineal red A (3332 mg/kg - ppm) and unauthorised use of colour E 123 - amaranth (14.9 mg/kg - ppm) in red fondant modeling for cakes from Portugal
56,information for follow-up,14/04/2015,19/05/2015,2015.0471,Finland,food,fruits and vegetables,"too high content of sulphite (2550 mg/kg - ppm) in dried apricots with raw material from Turkey, packaged in Greece"
57,alert,09/04/2015,06/05/2015,2015.0450,Italy,food,crustaceans and products thereof,undeclared sulphite (70 mg/kg - ppm) in frozen Norway lobsters from France
58,information for attention,08/04/2015,08/06/2015,2015.0443,Finland,food,fruits and vegetables,"too high content of sulphite (890 mg/kg - ppm) in dried apple bites from Chile, via the Netherlands and via Estonia"
59,border rejection,08/04/2015,30/04/2015,2015.APZ,Spain,food,crustaceans and products thereof,too high content of sulphite (184 mg/kg - ppm) in frozen shrimps (Penaeus vannamei) from Ecuador
60,border rejection,07/04/2015,07/04/2015,2015.APM,Lithuania,food,fruits and vegetables,too high content of sulphite (2516 mg/kg - ppm) in dried apricots from Turkey
61,information for attention,02/04/2015,07/04/2015,2015.0426,Latvia,food,fruits and vegetables,undeclared E 200 - sorbic acid (230 mg/kg - ppm) in pitted prunes from Uzbekistan
62,border rejection,02/04/2015,03/04/2015,2015.AOZ,France,food,fruits and vegetables,undeclared sulphite (2363 mg/kg - ppm) in dried apricots from Turkey
63,information for follow-up,01/04/2015,08/04/2015,2015.0409,Italy,food,fish and fish products,E 251 - sodium nitrate (101 mg/kg - ppm) unauthorised in chilled tuna (Thunnus albacares) from Spain
64,information for attention,31/03/2015,08/04/2015,2015.0403,Greece,food,confectionery,undeclared colour E 102 - tartrazine (20.3 mg/kg - ppm) in jellies from Turkey
65,information for attention,31/03/2015,08/04/2015,2015.0401,Greece,food,confectionery,undeclared colour E 110 - Sunset Yellow FCF (33.2 mg/kg - ppm) and colour E 129 - Allura Red AC (27.8 mg/kg - ppm) in jelly from Turkey
66,border rejection,31/03/2015,31/03/2015,2015.ANY,Bulgaria,food,fruits and vegetables,too high content of sulphite (2407 mg/kg - ppm) in dried apricots from Turkey
67,information for attention,23/03/2015,27/04/2015,2015.0346,Denmark,food,fruits and vegetables,too high content of E 210 - benzoic acid (6000 mg/kg - ppm) in salted radish from Thailand
68,information for attention,20/03/2015,12/06/2015,2015.0337,Germany,food,fish and fish products,E 251 - sodium nitrate (153 mg/kg - ppm) unauthorised in chilled tuna from Spain
69,alert,16/03/2015,20/04/2015,2015.0316,Denmark,food,confectionery,"undeclared sulphite (1260 mg/kg - ppm) in preserved tamarind from Thailand, via the Netherlands"
70,border rejection,10/03/2015,10/03/2015,2015.AKR,Spain,food,fruits and vegetables,undeclared colour E 133 - Brilliant Blue FCF (15 mg/kg - ppm) and unauthorised use of colour E 102 - tartrazine (76 mg/kg - ppm) in frozen seaweed salad from China
71,information for follow-up,06/03/2015,07/04/2015,2015.0271,Denmark,food,fruits and vegetables,"too high content of sulphite (2400 mg/kg - ppm) in golden raisins from Chile, packaged in Denmark, via the Netherlands"
72,alert,05/03/2015,04/05/2015,2015.0264,United Kingdom,food,fruits and vegetables,undeclared sulphite in Afghan dry plum from Germany
73,information for follow-up,26/02/2015,16/04/2015,2015.0230,Latvia,food,fruits and vegetables,too high content of sulphite (2459 mg/kg - ppm) in dried apricots from Uzbekistan
74,border rejection,24/02/2015,24/03/2015,2015.AIN,Greece,food,fruits and vegetables,too high content of sulphite (2320 mg/kg - ppm) in dried apricots from Turkey
75,information for attention,24/02/2015,12/03/2015,2015.0217,Italy,food,herbs and spices,unauthorised use of colour E 110 - Sunset Yellow FCF (149.8 mg/kg - ppm) and of colour E 129 - Allura Red AC (317.3 mg/kg - ppm) in chicken tikka spice mix from Pakistan
76,information for attention,23/02/2015,05/08/2015,2015.0212,Italy,food,crustaceans and products thereof,too high content of sulphite (454; 474; 489 mg/kg - ppm) in frozen deepwater rose shrimps (Parapenaeus longirostris) from Tunisia
77,information for follow-up,23/02/2015,30/03/2015,2015.0213,Hungary,food,confectionery,"too high content of undeclared colour E 110 - Sunset Yellow FCF (42 mg/kg - ppm) and of undeclared colour E 124 - Ponceau 4R / cochineal red A (40 mg/kg - ppm) in dried candied cocktailorange from China, via the Czech Republic, packaged in Hungary"
78,border rejection,18/02/2015,18/02/2015,2015.AHX,United Kingdom,food,fruits and vegetables,too high content of sulphite (2178 mg/kg - ppm) in dried apricots from Turkey
79,alert,05/02/2015,18/02/2015,2015.0134,United Kingdom,food,fruits and vegetables,undeclared sulphite (740 mg/kg - ppm) in dried apricots from Poland
80,border rejection,04/02/2015,03/09/2015,2015.AFO,Cyprus,food,cereals and bakery products,unauthorised use of colour E 127 - erythrosine in strawberry flavoured cream biscuits from India
81,border rejection,04/02/2015,04/02/2015,2015.AFN,France,food,fruits and vegetables,too high content of sulphite (2848 mg/kg - ppm) in dried apricots from Turkey
82,information for attention,30/01/2015,05/02/2015,2015.0116,Latvia,food,fruits and vegetables,undeclared sulphite (43 mg/kg - ppm) in dried apricots from Uzbekistan
83,information for attention,30/01/2015,05/02/2015,2015.0112,Italy,food,herbs and spices,unauthorised use of colour E 110 - Sunset Yellow FCF (149.8 mg/kg - ppm) and of colour E 129 - Allura Red AC (317.3 mg/kg - ppm) in spice mix from Pakistan
84,border rejection,28/01/2015,29/01/2015,2015.AEL,France,food,fruits and vegetables,too high content of sulphite (2239 mg/kg - ppm) in dried apricots from Turkey
85,alert,21/01/2015,11/03/2015,2015.0067,Italy,food,fruits and vegetables,undeclared sulphite (112.64 mg/kg - ppm) in fresh mushrooms (Pleurotus eryngii) from South Korea
86,alert,21/01/2015,28/01/2015,2015.0069,Denmark,food,fruits and vegetables,undeclared sulphite (865 mg/kg - ppm) in nut and berry mix from Denmark
87,border rejection,20/01/2015,20/01/2015,2015.ACO,Netherlands,food,fruits and vegetables,too high content of sulphite (3000 mg/kg - ppm) in dried apricots from Turkey
88,information for follow-up,19/01/2015,09/04/2015,2015.0057,Finland,food,fruits and vegetables,"unauthorised use of colour E 102 - tartrazine in pickled radish from South Korea, via the Netherlands"
89,border rejection,15/01/2015,11/02/2015,2015.ABV,Estonia,food,fruits and vegetables,too high content of sulphite (3305 mg/kg - ppm) in dried apricots from Turkey
90,border rejection,14/01/2015,14/01/2015,2015.ABN,Netherlands,food,fruits and vegetables,too high content of sulphite (2690 mg/kg - ppm) in dried apricots from Turkey
91,border rejection,14/01/2015,14/01/2015,2015.ABM,Malta,food,fruits and vegetables,undeclared sulphite in dried apricots from Turkey
92,information for follow-up,08/01/2015,26/01/2015,2015.0026,Romania,food,non-alcoholic beverages,"too high content of sweetener E 952 - cyclamate (275.5 mg/l) in cola light manufactured in Romania, with raw material from Germany"
93,alert,07/01/2015,26/02/2015,2015.0017,United Kingdom,food,food additives and flavourings,too high content of thujone (48 mg/l) in absinthe 55 essence from Sweden
94,information for follow-up,07/01/2015,08/01/2015,2015.0020,Italy,food,crustaceans and products thereof,too high content of sulphite (1060 mg/kg - ppm) in frozen pink peeled shrimp tails from Croatia
95,alert,06/01/2015,14/07/2015,2015.0014,Denmark,food,fruits and vegetables,"too high content of sulphite and undeclared sulphite (95 mg/kg - ppm) in white corn in salt brine produced in Ecuador, via Spain"
96,alert,05/01/2015,22/01/2015,2015.0012,Italy,food,"nuts, nut products and seeds",undeclared sulphite (54 mg/kg - ppm) in shelled walnuts from Germany
97,information for follow-up,19/12/2014,04/06/2015,2014.1742,Spain,food,crustaceans and products thereof,too high content of sulphite (277 mg/kg - ppm) in frozen shrimps from Greece
98,border rejection,18/12/2014,07/01/2015,2014.CAE,France,food,fruits and vegetables,too high content of sulphite (2768 mg/kg - ppm) in dried apricots from Turkey
99,border rejection,18/12/2014,07/01/2015,2014.CAC,France,food,fruits and vegetables,too high content of sulphite (2407 mg/kg - ppm) in dried apricots from Turkey
100,border rejection,17/12/2014,07/01/2015,2014.BZV,Spain,food,fruits and vegetables,too high content of sulphite (239 mg/kg - ppm) in galangal slice in brine from Thailand
101,border rejection,16/12/2014,14/01/2015,2014.BZK,France,food,fruits and vegetables,too high content of sulphite (2381 mg/kg - ppm) in dried apricots from Turkey
102,border rejection,16/12/2014,07/01/2015,2014.BZL,France,food,fruits and vegetables,too high content of sulphite (2748 mg/kg - ppm) in dried apricots from Turkey
103,border rejection,15/12/2014,07/01/2015,2014.BZJ,France,food,fruits and vegetables,too high content of sulphite (2763 mg/kg - ppm) in dried apricots from Turkey
104,border rejection,10/12/2014,08/01/2015,2014.BYV,Bulgaria,food,fruits and vegetables,too high content of sulphite (2577 mg/kg - ppm) in dried apricots from Turkey
105,information for attention,10/12/2014,07/01/2015,2014.1686,Italy,food,crustaceans and products thereof,too high content of sulphite (511 mg/kg - ppm) in chilled shrimps from Croatia
106,border rejection,05/12/2014,07/01/2015,2014.BYE,Cyprus,food,fruits and vegetables,too high content of sulphite (3323 mg/kg - ppm) in golden raisins from Lebanon
107,information for attention,05/12/2014,05/01/2015,2014.1667,Cyprus,food,cephalopods and products thereof,"undeclared sulphite (402 mg/kg - ppm) in frozen shrimps (Parapenaeus longirostris) from Cyprus, with raw material from Greece"
108,information for attention,05/12/2014,08/12/2014,2014.1669,Estonia,food,"dietetic foods, food supplements, fortified foods",E 216 - propyl p-hydroxybenzoate and E 218 - methyl-p-hydroxybenzoate unauthorised in food supplement from India
109,information for attention,04/12/2014,04/12/2014,2014.1655,Lithuania,food,fruits and vegetables,too high content of E 200 - sorbic acid (1691 mg/kg - ppm) in dried pitted prunes from Moldova
110,border rejection,03/12/2014,07/01/2015,2014.BXS,Bulgaria,food,fruits and vegetables,too high content of sulphite (2430 mg/kg - ppm) in dried apricots from Turkey
111,border rejection,02/12/2014,02/12/2014,2014.BXM,Italy,food,fruits and vegetables,undeclared colour E 133 - Brilliant Blue FCF (133 mg/l) and unauthorised use of colour E 102 - tartrazine (70.3 mg/l) in frozen seaweed salad from China
112,information for attention,21/11/2014,30/06/2015,2014.1594,Sweden,food,fish and fish products,unauthorised use of colour E 110 - Sunset Yellow FCF in crab paste from Thailand
113,information for attention,21/11/2014,03/12/2014,2014.1590,Sweden,food,fruits and vegetables,"unauthorised use of E 315 - erythorbic acid in pickled vegetables from China, via Hong Kong"
114,information for follow-up,19/11/2014,02/12/2014,2014.1575,Sweden,food,cereals and bakery products,unauthorised use of colour E 127 - erythrosine in dried tapioca sticks from Vietnam
115,border rejection,19/11/2014,19/11/2014,2014.BUT,Italy,food,fruits and vegetables,undeclared sulphite (52 /kg) in dried raisins from Turkey
116,information for follow-up,17/11/2014,18/11/2014,2014.1559,Greece,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (450.5 mg/l) in carbonated soft drink from the Netherlands
117,alert,12/11/2014,12/11/2014,2014.1522,United Kingdom,food,fruits and vegetables,undeclared sulphite in dried apricots from Turkey
118,border rejection,11/11/2014,07/01/2015,2014.BTE,Spain,food,fruits and vegetables,too high content of sulphite (2310 mg/kg - ppm) in apricots from Turkey
119,information for attention,06/11/2014,13/11/2014,2014.1500,Italy,food,fish and fish products,E 452 - polyphosphates (2.72 g/kg) unauthorised in chilled sole (Solea vulgaris) from France
120,information for attention,04/11/2014,07/01/2015,2014.1483,Latvia,food,fruits and vegetables,too high content of sulphite (2448 mg/kg - ppm) in dried apricots from Uzbekistan
121,alert,31/10/2014,01/12/2014,2014.1469,Denmark,food,"nuts, nut products and seeds","undeclared sulphite (97 mg/kg - ppm) in canned coconut milk from Thailand, via the United Kingdom"
122,alert,30/10/2014,01/12/2014,2014.1462,Ireland,food,fruits and vegetables,undeclared sulphite (1394 mg/kg - ppm) in dried apricots from the United Kingdom
123,border rejection,29/10/2014,07/01/2015,2014.BRW,Italy,food,fruits and vegetables,too high content of sulphite (3349 mg/kg - ppm) in dried apricots from Turkey
124,border rejection,29/10/2014,07/01/2015,2014.BRU,Bulgaria,food,fruits and vegetables,too high content of sulphite (3142 mg/kg - ppm) in dried apricots from Turkey
125,border rejection,28/10/2014,28/10/2014,2014.BRR,Finland,food,non-alcoholic beverages,unauthorised use of colour E 127 - erythrosine (presence) in basil seed drink with rose flavour from Thailand
126,information for follow-up,27/10/2014,02/06/2015,2014.1446,Finland,food,alcoholic beverages,"too high content of E 1520 - propylene glycol (5800 mg/kg - ppm) in liqueur from Canada, packaged in Norway"
127,border rejection,22/10/2014,07/01/2015,2014.BQW,Spain,food,fruits and vegetables,too high content of sulphite (2277 mg/kg - ppm) in dried apricots from Turkey
128,border rejection,16/10/2014,16/10/2014,2014.BPP,Latvia,food,alcoholic beverages,E 363 - succinic acid unauthorised in vodka from Russia
129,border rejection,14/10/2014,22/10/2014,2014.BPF,Greece,food,non-alcoholic beverages,sulphite (26 mg/l) unauthorised in apple drink from Lebanon
130,border rejection,07/10/2014,16/10/2014,2014.BOD,Spain,food,fish and fish products,E 452 - polyphosphates unauthorised in preparation of surimi with Pacific Pollock (Theragra chalcogramma) from the United States
131,alert,06/10/2014,10/04/2015,2014.1358,Hungary,food,"nuts, nut products and seeds","abnormal smell of and undeclared sulphite (37.4 mg/kg - ppm) in desiccated coconut from Malaysia, via Romania"
132,information for attention,06/10/2014,13/10/2014,2014.1362,Lithuania,food,fruits and vegetables,unauthorised use of colour E 102 - tartrazine (53 mg/kg - ppm) and of colour E 110 - Sunset Yellow FCF (6.1 mg/kg - ppm) in dehydrated mango slices from Thailand
133,information for attention,06/10/2014,06/10/2014,2014.1357,Sweden,food,other food product / mixed,"unauthorised food additive sodium polyacrylate in dried shrimp noodles from China, via Hong Kong"
134,border rejection,02/10/2014,07/01/2015,2014.BNQ,United Kingdom,food,fruits and vegetables,too high content of sulphite (2382 mg/kg - ppm) in dried apricots from Turkey
135,information for attention,01/10/2014,03/11/2014,2014.1335,United Kingdom,food,other food product / mixed,undeclared sulphite (260; 70; 160 mg/kg - ppm) in soup stocks from China
136,border rejection,29/09/2014,07/01/2015,2014.BNK,Cyprus,food,"nuts, nut products and seeds",too high content of sulphite (238 mg/kg - ppm) in sliced coconut from Lebanon
137,information for attention,26/09/2014,26/09/2014,2014.1320,Sweden,food,cereals and bakery products,"unauthorised food additive E 926 - chlorine dioxide in udon noodles from China, via Hong Kong"
138,border rejection,25/09/2014,07/01/2015,2014.BNC,Spain,food,fruits and vegetables,too high content of sulphite (2699 mg/kg - ppm) in dried apricots from Turkey
139,border rejection,11/09/2014,12/09/2014,2014.BLL,Spain,food,fish and fish products,"E 1520 - propylene glycol, E 999 - extract of quillaia, E 492 - sorbitan tristearate and E 459 - beta-cyclodextrin unauthorised and unauthorised food additive monosodium aspartate in frozen surimi preparations (Sparidae spp) from Vietnam"
140,border rejection,09/09/2014,01/10/2014,2014.BLF,Latvia,food,fruits and vegetables,undeclared sulphite (2283 mg/kg - ppm) in dried apricots from Uzbekistan
141,information for attention,03/09/2014,03/09/2014,2014.1229,United Kingdom,food,cereals and bakery products,unauthorised use of colour E 102 - tartrazine (64 mg/kg - ppm) in green noodles from Thailand
142,information for follow-up,01/09/2014,06/10/2014,2014.1219,Ireland,food,confectionery,"too high content of colour E 104 - quinoline yellow (111.5 mg/kg - ppm) in sugar cake confectionery from the Philippines, via the United Kingdom"
143,border rejection,29/08/2014,04/09/2014,2014.BKG,United Kingdom,food,fruits and vegetables,undeclared colour E 102 - tartrazine and unauthorised use of colour E 127 - erythrosine (9 mg/kg - ppm) in sugar coated fennel seeds from India
144,alert,28/08/2014,06/11/2014,2014.1206,Latvia,food,fruits and vegetables,undeclared sulphite (2714; 2400 mg/kg - ppm) in dried apricots from Uzbekistan
145,border rejection,28/08/2014,29/08/2014,2014.BKA,Latvia,food,fruits and vegetables,undeclared sulphite (28 mg/kg - ppm) in dried prunes from Uzbekistan
146,border rejection,25/08/2014,26/08/2014,2014.BJN,Spain,food,prepared dishes and snacks,"too high content of colour E 102 - tartrazine (100 mg/kg - ppm), unauthorised animal ingredient (egg white) and unauthorised use of colour E 132 - indigotine /  indigo carmine (500 mg/kg - ppm) in noodles from Japan"
147,information for follow-up,21/08/2014,19/09/2014,2014.1168,United Kingdom,food,non-alcoholic beverages,"too high content of E 210 - benzoic acid (229.5; 430.7; 431.9 mg/l) in soft drink from the United States, via the United Kingdom"
148,border rejection,21/08/2014,29/08/2014,2014.BJE,Spain,food,prepared dishes and snacks,unauthorised use of colour E 124 - Ponceau 4R / cochineal red A (100 mg/kg - ppm) in preserved vegetables from Japan
149,information for attention,13/08/2014,13/08/2014,2014.1135,United Kingdom,food,fruits and vegetables,undeclared sulphite (1018 mg/kg - ppm) in dried whole pitted apricots from Turkey
150,information for follow-up,05/08/2014,16/01/2015,2014.1100,Poland,food,cereals and bakery products,too high content of sulphite (186 mg/kg - ppm) in vanilla flavour biscuits from Romania
151,border rejection,04/08/2014,07/01/2015,2014.BGY,Latvia,food,fruits and vegetables,too high content of sulphite (0.544; 0.390 %) in dried apricot from Uzbekistan
152,information for attention,04/08/2014,19/12/2014,2014.1089,Italy,food,fish and fish products,unauthorised use of colour E 162 - betanin in vacuum packed yellow fin tuna (Thunnus albacares) from Spain
